净值日期,Unnamed: 0,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2017-05-11,0,1.137,1.1740000000000002,0.8,开放申购,开放赎回,
2017-05-12,1,1.141,1.178,0.35,开放申购,开放赎回,
2017-05-15,2,1.161,1.198,1.75,开放申购,开放赎回,
2017-05-16,3,1.196,1.233,3.01,开放申购,开放赎回,
2017-05-17,0,1.177,1.214,-1.59,开放申购,开放赎回,
2017-05-18,1,1.175,1.212,-0.17,开放申购,开放赎回,
2017-05-19,2,1.185,1.222,0.85,开放申购,开放赎回,
2017-05-22,3,1.181,1.218,-0.34,开放申购,开放赎回,
2017-05-23,4,1.208,1.245,2.29,开放申购,开放赎回,
2017-05-24,5,1.198,1.235,-0.83,开放申购,开放赎回,
2017-05-25,6,1.198,1.235,0.0,开放申购,开放赎回,
2017-05-26,7,1.2009999999999998,1.238,0.25,开放申购,开放赎回,
2017-05-31,8,1.196,1.233,-0.42,开放申购,开放赎回,
2017-06-01,9,1.199,1.236,0.25,开放申购,开放赎回,
2017-06-02,10,1.192,1.229,-0.58,开放申购,开放赎回,
2017-06-05,11,1.18,1.217,-1.01,开放申购,开放赎回,
2017-06-06,12,1.199,1.236,1.61,开放申购,开放赎回,
2017-06-07,13,1.233,1.27,2.84,开放申购,开放赎回,
2017-06-08,14,1.244,1.281,0.89,开放申购,开放赎回,
2017-06-09,15,1.254,1.291,0.8,开放申购,开放赎回,
2017-06-12,16,1.285,1.3219999999999998,2.47,开放申购,开放赎回,
2017-06-13,17,1.2819999999999998,1.319,-0.23,开放申购,开放赎回,
2017-06-14,18,1.272,1.3090000000000002,-0.78,开放申购,开放赎回,
2017-06-15,19,1.249,1.286,-1.81,开放申购,开放赎回,
2017-06-16,20,1.245,1.2819999999999998,-0.32,开放申购,开放赎回,
2017-06-19,21,1.252,1.289,0.56,开放申购,开放赎回,
2017-06-20,22,1.248,1.285,-0.32,开放申购,开放赎回,
2017-06-21,23,1.274,1.311,2.08,开放申购,开放赎回,
2017-06-22,24,1.268,1.305,-0.47,开放申购,开放赎回,
2017-06-23,25,1.272,1.3090000000000002,0.32,开放申购,开放赎回,
2017-06-26,26,1.308,1.345,2.83,开放申购,开放赎回,
2017-06-27,27,1.307,1.344,-0.08,开放申购,开放赎回,
2017-06-28,28,1.284,1.321,-1.76,开放申购,开放赎回,
2017-06-29,29,1.283,1.32,-0.08,开放申购,开放赎回,
2017-06-30,30,1.286,1.3230000000000002,0.23,开放申购,开放赎回,
2017-07-03,31,1.265,1.3019999999999998,-1.63,开放申购,开放赎回,
2017-07-04,32,1.249,1.286,-1.26,开放申购,开放赎回,
2017-07-05,33,1.263,1.3,1.12,开放申购,开放赎回,
2017-07-06,34,1.257,1.294,-0.48,开放申购,开放赎回,
2017-07-07,35,1.246,1.283,-0.88,开放申购,开放赎回,
2017-07-10,36,1.256,1.293,0.8,开放申购,开放赎回,
2017-07-11,37,1.268,1.305,0.96,开放申购,开放赎回,
2017-07-12,38,1.251,1.288,-1.34,开放申购,开放赎回,
2017-07-13,39,1.257,1.294,0.48,开放申购,开放赎回,
2017-07-14,0,1.27,1.307,1.03,开放申购,开放赎回,
2017-07-17,1,1.238,1.275,-2.52,开放申购,开放赎回,
2017-07-18,2,1.247,1.284,0.73,开放申购,开放赎回,
2017-07-19,3,1.267,1.304,1.6,开放申购,开放赎回,
2017-07-20,4,1.29,1.327,1.82,开放申购,开放赎回,
2017-07-21,5,1.31,1.347,1.55,开放申购,开放赎回,
2017-07-24,6,1.3330000000000002,1.37,1.76,开放申购,开放赎回,
2017-07-25,7,1.327,1.364,-0.45,开放申购,开放赎回,
2017-07-26,8,1.311,1.348,-1.21,开放申购,开放赎回,
2017-07-27,9,1.3219999999999998,1.359,0.84,开放申购,开放赎回,
2017-07-28,10,1.38,1.4169999999999998,4.39,开放申购,开放赎回,
2017-07-31,11,1.3969999999999998,1.4340000000000002,1.23,开放申购,开放赎回,
2017-08-01,12,1.403,1.44,0.43,开放申购,开放赎回,
2017-08-02,13,1.386,1.423,-1.21,开放申购,开放赎回,
