净值日期,Unnamed: 0,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2018-03-28,0,1.1576,1.1576,-0.74,开放申购,开放赎回,
2018-03-29,1,1.1601,1.1601,0.22,开放申购,开放赎回,
2018-03-30,2,1.1748,1.1748,1.27,开放申购,开放赎回,
2018-04-02,3,1.1833,1.1833,0.72,开放申购,开放赎回,
2018-04-03,4,1.1743,1.1743,-0.76,开放申购,开放赎回,
2018-04-04,5,1.1699,1.1699,-0.37,开放申购,开放赎回,
2018-04-09,6,1.1706,1.1706,0.06,开放申购,开放赎回,
2018-04-10,7,1.1674,1.1674,-0.27,开放申购,开放赎回,
2018-04-11,8,1.1768,1.1768,0.81,开放申购,开放赎回,
2018-04-12,9,1.179,1.179,0.19,开放申购,开放赎回,
2018-04-13,10,1.1719,1.1719,-0.6,开放申购,开放赎回,
2018-04-16,11,1.1645,1.1645,-0.63,开放申购,开放赎回,
2018-04-17,12,1.1504,1.1504,-1.21,开放申购,开放赎回,
2018-04-18,13,1.154,1.154,0.31,开放申购,开放赎回,
2018-04-19,14,1.1587,1.1587,0.41,开放申购,开放赎回,
2018-04-20,15,1.1453,1.1453,-1.16,开放申购,开放赎回,
2018-04-23,16,1.1367,1.1367,-0.75,开放申购,开放赎回,
2018-04-24,17,1.1639,1.1639,2.39,开放申购,开放赎回,
2018-04-25,18,1.1569,1.1569,-0.6,开放申购,开放赎回,
2018-04-26,19,1.1421,1.1421,-1.28,开放申购,开放赎回,
2018-04-27,20,1.1357,1.1357,-0.56,开放申购,开放赎回,
2018-05-02,21,1.1369,1.1369,0.11,开放申购,开放赎回,
2018-05-03,22,1.1391,1.1391,0.19,开放申购,开放赎回,
2018-05-04,23,1.1405,1.1405,0.12,开放申购,开放赎回,
2018-05-07,24,1.1613,1.1613,1.82,开放申购,开放赎回,
2018-05-08,25,1.163,1.163,0.15,开放申购,开放赎回,
2018-05-09,26,1.1613,1.1613,-0.15,开放申购,开放赎回,
2018-05-10,27,1.1662,1.1662,0.42,开放申购,开放赎回,
2018-05-11,0,1.1563,1.1563,-0.85,开放申购,开放赎回,
2018-05-14,1,1.17,1.17,1.18,开放申购,开放赎回,
2018-05-15,2,1.1756,1.1756,0.48,开放申购,开放赎回,
2018-05-16,3,1.1705,1.1705,-0.43,开放申购,开放赎回,
2018-05-17,4,1.1528,1.1528,-1.51,开放申购,开放赎回,
2018-05-18,5,1.1673,1.1673,1.26,开放申购,开放赎回,
2018-05-21,6,1.172,1.172,0.4,开放申购,开放赎回,
