净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2019-11-18,1.1183,1.1183,1.7,开放申购,开放赎回,nan
2019-11-19,1.1357,1.1357,1.56,开放申购,开放赎回,nan
2019-11-20,1.1305,1.1305,-0.46,开放申购,开放赎回,nan
2019-11-21,1.1298,1.1298,-0.06,开放申购,开放赎回,nan
2019-11-22,1.1192,1.1192,-0.94,开放申购,开放赎回,nan
2019-11-25,1.1198,1.1198,0.05,开放申购,开放赎回,nan
2019-11-26,1.1199,1.1199,0.01,开放申购,开放赎回,nan
2019-11-27,1.1209,1.1209,0.09,开放申购,开放赎回,nan
2019-11-28,1.1166,1.1166,-0.38,开放申购,开放赎回,nan
2019-11-29,1.1155,1.1155,-0.1,开放申购,开放赎回,nan
2019-12-02,1.1178,1.1178,0.21,开放申购,开放赎回,nan
2019-12-03,1.1212,1.1212,0.3,开放申购,开放赎回,nan
2019-12-04,1.1203,1.1203,-0.08,开放申购,开放赎回,nan
2019-12-05,1.1307,1.1307,0.93,开放申购,开放赎回,nan
2019-12-06,1.1379,1.1379,0.64,开放申购,开放赎回,nan
2019-12-09,1.1472,1.1472,0.82,开放申购,开放赎回,nan
2019-12-10,1.1503,1.1503,0.27,开放申购,开放赎回,nan
2019-12-11,1.1507,1.1507,0.03,开放申购,开放赎回,nan
2019-12-12,1.1488,1.1488,-0.17,开放申购,开放赎回,nan
2019-12-13,1.1652,1.1652,1.43,开放申购,开放赎回,nan
2019-12-16,1.1803,1.1803,1.3,开放申购,开放赎回,nan
2019-12-17,1.1891,1.1891,0.75,开放申购,开放赎回,nan
2019-12-18,1.1891,1.1891,0.0,开放申购,开放赎回,nan
2019-12-19,1.1912,1.1912,0.18,开放申购,开放赎回,nan
2019-12-20,1.1847,1.1847,-0.55,开放申购,开放赎回,nan
2019-12-23,1.1664,1.1664,-1.54,开放申购,开放赎回,nan
2019-12-24,1.1795,1.1795,1.12,开放申购,开放赎回,nan
2019-12-25,1.1856,1.1856,0.52,开放申购,开放赎回,nan
2019-12-26,1.1959,1.1959,0.87,开放申购,开放赎回,nan
2019-12-27,1.1898,1.1898,-0.51,开放申购,开放赎回,nan
2019-12-30,1.2054,1.2054,1.31,开放申购,开放赎回,nan
2019-12-31,1.212,1.212,0.55,开放申购,开放赎回,nan
2020-01-02,1.2352,1.2352,1.91,开放申购,开放赎回,nan
2020-01-03,1.2372,1.2372,0.16,开放申购,开放赎回,nan
2020-01-06,1.2449,1.2449,0.62,开放申购,开放赎回,nan
2020-01-07,1.2619,1.2619,1.37,开放申购,开放赎回,nan
2020-01-08,1.2489,1.2489,-1.03,开放申购,开放赎回,nan
2020-01-09,1.2685,1.2685,1.57,开放申购,开放赎回,nan
2020-01-10,1.2681,1.2681,-0.03,开放申购,开放赎回,nan
2020-01-13,1.2879,1.2879,1.56,开放申购,开放赎回,nan
2020-01-14,1.284,1.284,-0.3,开放申购,开放赎回,nan
2020-01-15,1.2851,1.2851,0.09,开放申购,开放赎回,nan
2020-01-16,1.2893,1.2893,0.33,开放申购,开放赎回,nan
2020-01-17,1.2984,1.2984,0.71,开放申购,开放赎回,nan
2020-01-20,1.3126,1.3126,1.09,开放申购,开放赎回,nan
2020-01-21,1.2965,1.2965,-1.23,开放申购,开放赎回,nan
2020-01-22,1.3143,1.3143,1.37,开放申购,开放赎回,nan
2020-01-23,1.2706,1.2706,-3.33,开放申购,开放赎回,nan
2020-02-03,1.1612,1.1612,-8.61,开放申购,开放赎回,nan
2020-02-04,1.2097,1.2097,4.18,开放申购,开放赎回,nan
2020-02-05,1.232,1.232,1.84,开放申购,开放赎回,nan
2020-02-06,1.2673,1.2673,2.87,开放申购,开放赎回,nan
2020-02-07,1.2804,1.2804,1.03,开放申购,开放赎回,nan
2020-02-10,1.2915,1.2915,0.87,开放申购,开放赎回,nan
2020-02-11,1.2948,1.2948,0.26,开放申购,开放赎回,nan
2020-02-12,1.3211,1.3211,2.03,开放申购,开放赎回,nan
2020-02-13,1.3217,1.3217,0.05,开放申购,开放赎回,nan
2020-02-14,1.3239,1.3239,0.17,开放申购,开放赎回,nan
2020-02-17,1.3638,1.3638,3.01,开放申购,开放赎回,nan
2020-02-18,1.3769,1.3769,0.96,开放申购,开放赎回,nan
2020-02-19,1.3679,1.3679,-0.65,开放申购,开放赎回,nan
2020-02-20,1.3901,1.3901,1.62,开放申购,开放赎回,nan
2020-02-21,1.4126,1.4126,1.62,开放申购,开放赎回,nan
2020-02-24,1.4235,1.4235,0.77,开放申购,开放赎回,nan
2020-02-25,1.4295,1.4295,0.42,开放申购,开放赎回,nan
2020-02-26,1.3868,1.3868,-2.99,开放申购,开放赎回,nan
2020-02-27,1.4048,1.4048,1.3,开放申购,开放赎回,nan
2020-02-28,1.3421,1.3421,-4.46,开放申购,开放赎回,nan
2020-03-02,1.3949,1.3949,3.93,开放申购,开放赎回,nan
2020-03-03,1.4099,1.4099,1.08,开放申购,开放赎回,nan
2020-03-04,1.4131,1.4131,0.23,开放申购,开放赎回,nan
2020-03-05,1.4271,1.4271,0.99,开放申购,开放赎回,nan
2020-03-06,1.4139,1.4139,-0.93,开放申购,开放赎回,nan
2020-03-09,1.3564,1.3564,-4.07,开放申购,开放赎回,nan
2020-03-10,1.3884,1.3884,2.36,开放申购,开放赎回,nan
2020-03-11,1.3662,1.3662,-1.6,开放申购,开放赎回,nan
2020-03-12,1.3363,1.3363,-2.19,开放申购,开放赎回,nan
2020-03-13,1.329,1.329,-0.55,开放申购,开放赎回,nan
2020-03-16,1.2615,1.2615,-5.08,开放申购,开放赎回,nan
2020-03-17,1.265,1.265,0.28,开放申购,开放赎回,nan
2020-03-18,1.2518,1.2518,-1.04,开放申购,开放赎回,nan
2020-03-19,1.2555,1.2555,0.3,开放申购,开放赎回,nan
2020-03-20,1.274,1.274,1.47,开放申购,开放赎回,nan
2020-03-23,1.2204,1.2204,-4.21,开放申购,开放赎回,nan
2020-03-24,1.245,1.245,2.02,开放申购,开放赎回,nan
2020-03-25,1.2751,1.2751,2.42,开放申购,开放赎回,nan
2020-03-26,1.2678,1.2678,-0.57,开放申购,开放赎回,nan
2020-03-27,1.2674,1.2674,-0.03,开放申购,开放赎回,nan
2020-03-30,1.2514,1.2514,-1.26,开放申购,开放赎回,nan
2020-03-31,1.2575,1.2575,0.49,开放申购,开放赎回,nan
2020-04-01,1.2593,1.2593,0.14,开放申购,开放赎回,nan
2020-04-02,1.2881,1.2881,2.29,开放申购,开放赎回,nan
2020-04-03,1.2836,1.2836,-0.35,开放申购,开放赎回,nan
2020-04-07,1.3228,1.3228,3.05,开放申购,开放赎回,nan
2020-04-08,1.3195,1.3195,-0.25,开放申购,开放赎回,nan
2020-04-09,1.3291,1.3291,0.73,开放申购,开放赎回,nan
2020-04-10,1.3053,1.3053,-1.79,开放申购,开放赎回,nan
2020-04-13,1.2997,1.2997,-0.43,开放申购,开放赎回,nan
2020-04-14,1.3276,1.3276,2.15,开放申购,开放赎回,nan
2020-04-15,1.3221,1.3221,-0.41,开放申购,开放赎回,nan
2020-04-16,1.3331,1.3331,0.83,开放申购,开放赎回,nan
2020-04-17,1.3414,1.3414,0.62,开放申购,开放赎回,nan
2020-04-20,1.367,1.367,1.91,开放申购,开放赎回,nan
2020-04-21,1.3615,1.3615,-0.4,开放申购,开放赎回,nan
2020-04-22,1.3725,1.3725,0.81,开放申购,开放赎回,nan
2020-04-23,1.3672,1.3672,-0.39,开放申购,开放赎回,nan
2020-04-24,1.3474,1.3474,-1.45,开放申购,开放赎回,nan
2020-04-27,1.355,1.355,0.56,开放申购,开放赎回,nan
2020-04-28,1.3603,1.3603,0.39,开放申购,开放赎回,nan
2020-04-29,1.3604,1.3604,0.01,开放申购,开放赎回,nan
2020-04-30,1.3855,1.3855,1.85,开放申购,开放赎回,nan
2020-05-06,1.4136,1.4136,2.03,开放申购,开放赎回,nan
2020-05-07,1.4148,1.4148,0.08,开放申购,开放赎回,nan
2020-05-08,1.426,1.426,0.79,开放申购,开放赎回,nan
2020-05-11,1.422,1.422,-0.28,开放申购,开放赎回,nan
2020-05-12,1.4329,1.4329,0.77,开放申购,开放赎回,nan
2020-05-13,1.4475,1.4475,1.02,开放申购,开放赎回,nan
2020-05-14,1.4318,1.4318,-1.08,开放申购,开放赎回,nan
2020-05-15,1.4335,1.4335,0.12,开放申购,开放赎回,nan
2020-05-18,1.4365,1.4365,0.21,开放申购,开放赎回,nan
2020-05-19,1.4616,1.4616,1.75,开放申购,开放赎回,nan
2020-05-20,1.4399,1.4399,-1.48,开放申购,开放赎回,nan
2020-05-21,1.4226,1.4226,-1.2,开放申购,开放赎回,nan
2020-05-22,1.3941,1.3941,-2.0,开放申购,开放赎回,nan
2020-05-25,1.3978,1.3978,0.27,开放申购,开放赎回,nan
2020-05-26,1.4298,1.4298,2.29,开放申购,开放赎回,nan
2020-05-27,1.4159,1.4159,-0.97,开放申购,开放赎回,nan
2020-05-28,1.4137,1.4137,-0.16,开放申购,开放赎回,nan
2020-05-29,1.4304,1.4304,1.18,开放申购,开放赎回,nan
2020-06-01,1.4742,1.4742,3.06,开放申购,开放赎回,nan
2020-06-02,1.4664,1.4664,-0.53,开放申购,开放赎回,nan
2020-06-03,1.4656,1.4656,-0.05,开放申购,开放赎回,nan
2020-06-04,1.4694,1.4694,0.26,开放申购,开放赎回,nan
2020-06-05,1.475,1.475,0.38,开放申购,开放赎回,nan
2020-06-08,1.4711,1.4711,-0.26,开放申购,开放赎回,nan
2020-06-09,1.4836,1.4836,0.85,开放申购,开放赎回,nan
2020-06-10,1.4981,1.4981,0.98,开放申购,开放赎回,nan
2020-06-11,1.4932,1.4932,-0.33,开放申购,开放赎回,nan
2020-06-12,1.4986,1.4986,0.36,开放申购,开放赎回,nan
2020-06-15,1.4914,1.4914,-0.48,开放申购,开放赎回,nan
2020-06-16,1.5233,1.5233,2.14,开放申购,开放赎回,nan
2020-06-17,1.5267,1.5267,0.22,开放申购,开放赎回,nan
2020-06-18,1.5295,1.5295,0.18,开放申购,开放赎回,nan
2020-06-19,1.5503,1.5503,1.36,开放申购,开放赎回,nan
2020-06-22,1.5537,1.5537,0.22,开放申购,开放赎回,nan
2020-06-23,1.5678,1.5678,0.91,开放申购,开放赎回,nan
2020-06-24,1.5711,1.5711,0.21,开放申购,开放赎回,nan
2020-06-29,1.5717,1.5717,0.04,开放申购,开放赎回,nan
2020-06-30,1.6039,1.6039,2.05,开放申购,开放赎回,nan
2020-07-01,1.6174,1.6174,0.84,开放申购,开放赎回,nan
2020-07-02,1.6332,1.6332,0.98,开放申购,开放赎回,nan
2020-07-03,1.6471,1.6471,0.85,开放申购,开放赎回,nan
2020-07-06,1.7002,1.7002,3.22,开放申购,开放赎回,nan
2020-07-07,1.7303,1.7303,1.77,开放申购,开放赎回,nan
2020-07-08,1.7665,1.7665,2.09,开放申购,开放赎回,nan
2020-07-09,1.8173,1.8173,2.88,开放申购,开放赎回,nan
2020-07-10,1.8172,1.8172,-0.01,开放申购,开放赎回,nan
2020-07-13,1.8747,1.8747,3.16,开放申购,开放赎回,nan
2020-07-14,1.8612,1.8612,-0.72,开放申购,开放赎回,nan
2020-07-15,1.8297,1.8297,-1.69,开放申购,开放赎回,nan
2020-07-16,1.7477,1.7477,-4.48,开放申购,开放赎回,nan
2020-07-17,1.7774,1.7774,1.7,开放申购,开放赎回,nan
2020-07-20,1.8176,1.8176,2.26,开放申购,开放赎回,nan
2020-07-21,1.8386,1.8386,1.16,限制大额申购,开放赎回,nan
2020-07-22,1.8586,1.8586,1.09,限制大额申购,开放赎回,nan
2020-07-23,1.8651,1.8651,0.35,限制大额申购,开放赎回,nan
2020-07-24,1.7674,1.7674,-5.24,限制大额申购,开放赎回,nan
