净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2015-12-09,1.149,1.149,0.09,限制大额申购,开放赎回,nan
2015-12-10,1.149,1.149,0.0,限制大额申购,开放赎回,nan
2015-12-11,1.149,1.149,0.0,限制大额申购,开放赎回,nan
2015-12-14,1.15,1.15,0.09,限制大额申购,开放赎回,nan
2015-12-15,1.15,1.15,0.0,限制大额申购,开放赎回,nan
2015-12-16,1.15,1.15,0.0,限制大额申购,开放赎回,nan
2015-12-17,1.151,1.151,0.09,限制大额申购,开放赎回,nan
2015-12-18,1.152,1.152,0.09,限制大额申购,开放赎回,nan
2015-12-21,1.153,1.153,0.09,限制大额申购,开放赎回,nan
2015-12-22,1.155,1.155,0.17,限制大额申购,开放赎回,nan
2015-12-23,1.156,1.156,0.09,限制大额申购,开放赎回,nan
2015-12-24,1.157,1.157,0.09,限制大额申购,开放赎回,nan
2015-12-25,1.158,1.158,0.09,限制大额申购,开放赎回,nan
2015-12-28,1.158,1.158,0.0,限制大额申购,开放赎回,nan
2015-12-29,1.159,1.159,0.09,限制大额申购,开放赎回,nan
2015-12-30,1.159,1.159,0.0,限制大额申购,开放赎回,nan
2015-12-31,1.159,1.159,0.0,限制大额申购,开放赎回,nan
2016-01-04,1.159,1.159,0.0,限制大额申购,开放赎回,nan
2016-01-05,1.159,1.159,0.0,限制大额申购,开放赎回,nan
2016-01-06,1.129,1.159,0.0,限制大额申购,开放赎回,每份派现金0.0300元
2016-01-07,1.13,1.16,0.09,限制大额申购,开放赎回,nan
2016-01-08,1.131,1.161,0.09,限制大额申购,开放赎回,nan
2016-01-11,1.131,1.161,0.0,限制大额申购,开放赎回,nan
2016-01-12,1.133,1.163,0.18,限制大额申购,开放赎回,nan
2016-01-13,1.134,1.164,0.09,限制大额申购,开放赎回,nan
2016-01-14,1.135,1.165,0.09,限制大额申购,开放赎回,nan
2016-01-15,1.135,1.165,0.0,限制大额申购,开放赎回,nan
2016-01-18,1.135,1.165,0.0,限制大额申购,开放赎回,nan
2016-01-19,1.135,1.165,0.0,限制大额申购,开放赎回,nan
2016-01-20,1.135,1.165,0.0,限制大额申购,开放赎回,nan
2016-01-21,1.134,1.164,-0.09,限制大额申购,开放赎回,nan
2016-01-22,1.135,1.165,0.09,限制大额申购,开放赎回,nan
2016-01-25,1.134,1.164,-0.09,限制大额申购,开放赎回,nan
2016-01-26,1.133,1.163,-0.09,限制大额申购,开放赎回,nan
2016-01-27,1.132,1.162,-0.09,限制大额申购,开放赎回,nan
2016-01-28,1.131,1.161,-0.09,限制大额申购,开放赎回,nan
2016-01-29,1.132,1.162,0.09,限制大额申购,开放赎回,nan
