净值日期,Unnamed: 0,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-09-14,0,1.777,1.777,0.17,开放申购,开放赎回,
2016-09-19,39,1.7990000000000002,1.7990000000000002,1.24,开放申购,开放赎回,
2016-09-20,38,1.827,1.827,1.56,开放申购,开放赎回,
2016-09-21,37,1.845,1.845,0.99,开放申购,开放赎回,
2016-09-22,36,1.858,1.858,0.7,开放申购,开放赎回,
2016-09-23,35,1.8519999999999999,1.8519999999999999,-0.32,开放申购,开放赎回,
2016-09-26,34,1.848,1.848,-0.22,开放申购,开放赎回,
2016-09-27,33,1.8519999999999999,1.8519999999999999,0.22,开放申购,开放赎回,
2016-09-28,32,1.85,1.85,-0.11,开放申购,开放赎回,
2016-09-29,31,1.861,1.861,0.59,开放申购,开放赎回,
2016-09-30,30,1.864,1.864,0.16,开放申购,开放赎回,
2016-10-10,29,1.9040000000000001,1.9040000000000001,2.15,开放申购,开放赎回,
2016-10-11,28,1.9180000000000001,1.9180000000000001,0.74,开放申购,开放赎回,
2016-10-12,27,1.909,1.909,-0.47,开放申购,开放赎回,
2016-10-13,26,1.9169999999999998,1.9169999999999998,0.42,开放申购,开放赎回,
2016-10-14,25,1.9040000000000001,1.9040000000000001,-0.68,开放申购,开放赎回,
2016-10-17,24,1.903,1.903,-0.05,开放申购,开放赎回,
2016-10-18,23,1.9180000000000001,1.9180000000000001,0.79,开放申购,开放赎回,
2016-10-19,22,1.91,1.91,-0.42,开放申购,开放赎回,
2016-10-20,21,1.906,1.906,-0.21,开放申购,开放赎回,
2016-10-21,20,1.9,1.9,-0.31,开放申购,开放赎回,
2016-10-24,19,1.901,1.901,0.05,开放申购,开放赎回,
2016-10-25,18,1.896,1.896,-0.26,开放申购,开放赎回,
2016-10-26,17,1.893,1.893,-0.16,开放申购,开放赎回,
2016-10-27,16,1.8940000000000001,1.8940000000000001,0.05,开放申购,开放赎回,
2016-10-28,15,1.886,1.886,-0.42,开放申购,开放赎回,
2016-10-31,14,1.886,1.886,0.0,开放申购,开放赎回,
2016-11-01,13,1.921,1.921,1.86,开放申购,开放赎回,
2016-11-02,12,1.903,1.903,-0.94,开放申购,开放赎回,
2016-11-03,11,1.909,1.909,0.32,开放申购,开放赎回,
2016-11-04,10,1.905,1.905,-0.21,开放申购,开放赎回,
2016-11-07,9,1.902,1.902,-0.16,开放申购,开放赎回,
2016-11-08,8,1.91,1.91,0.42,开放申购,开放赎回,
2016-11-09,7,1.89,1.89,-1.05,开放申购,开放赎回,
2016-11-10,6,1.921,1.921,1.64,开放申购,开放赎回,
2016-11-11,5,1.909,1.909,-0.62,开放申购,开放赎回,
2016-11-14,4,1.906,1.906,-0.16,开放申购,开放赎回,
2016-11-15,3,1.913,1.913,0.37,开放申购,开放赎回,
2016-11-16,2,1.919,1.919,0.31,开放申购,开放赎回,
2016-11-17,1,1.909,1.909,-0.52,开放申购,开放赎回,
2016-11-18,0,1.906,1.906,-0.16,开放申购,开放赎回,
2016-11-21,39,1.9080000000000001,1.9080000000000001,0.1,开放申购,开放赎回,
2016-11-22,38,1.912,1.912,0.21,开放申购,开放赎回,
2016-11-23,37,1.9,1.9,-0.63,开放申购,开放赎回,
2016-11-24,36,1.8940000000000001,1.8940000000000001,-0.32,开放申购,开放赎回,
2016-11-25,35,1.893,1.893,-0.05,开放申购,开放赎回,
2016-11-28,34,1.89,1.89,-0.16,开放申购,开放赎回,
2016-11-29,33,1.876,1.876,-0.74,开放申购,开放赎回,
2016-11-30,32,1.879,1.879,0.16,开放申购,开放赎回,
2016-12-01,31,1.886,1.886,0.37,开放申购,开放赎回,
2016-12-02,30,1.86,1.86,-1.38,开放申购,开放赎回,
2016-12-05,29,1.859,1.859,-0.05,开放申购,开放赎回,
2016-12-06,28,1.8659999999999999,1.8659999999999999,0.38,开放申购,开放赎回,
2016-12-07,27,1.883,1.883,0.91,开放申购,开放赎回,
2016-12-08,26,1.879,1.879,-0.21,开放申购,开放赎回,
2016-12-09,25,1.874,1.874,-0.27,开放申购,开放赎回,
2016-12-12,24,1.8030000000000002,1.8030000000000002,-3.79,开放申购,开放赎回,
2016-12-13,23,1.808,1.808,0.28,开放申购,开放赎回,
2016-12-14,22,1.7890000000000001,1.7890000000000001,-1.05,开放申购,开放赎回,
2016-12-15,21,1.7919999999999998,1.7919999999999998,0.17,开放申购,开放赎回,
2016-12-16,20,1.8090000000000002,1.8090000000000002,0.95,开放申购,开放赎回,
