净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2015-10-30,1.046,1.158,0.0,暂停申购,暂停赎回,nan
2015-11-02,1.047,1.159,0.1,暂停申购,暂停赎回,nan
2015-11-03,1.047,1.159,0.0,暂停申购,暂停赎回,nan
2015-11-04,1.046,1.158,-0.1,暂停申购,暂停赎回,nan
2015-11-05,1.046,1.158,0.0,暂停申购,暂停赎回,nan
2015-11-06,1.046,1.158,0.0,暂停申购,暂停赎回,nan
2015-11-09,1.044,1.156,-0.19,暂停申购,暂停赎回,nan
2015-11-10,1.043,1.155,-0.1,暂停申购,暂停赎回,nan
2015-11-11,1.039,1.151,-0.38,暂停申购,暂停赎回,nan
2015-11-12,1.039,1.151,0.0,暂停申购,暂停赎回,nan
2015-11-13,1.039,1.151,0.0,暂停申购,暂停赎回,nan
2015-11-16,1.038,1.15,-0.1,暂停申购,暂停赎回,nan
2015-11-17,1.038,1.15,0.0,暂停申购,暂停赎回,nan
2015-11-18,1.038,1.15,0.0,暂停申购,暂停赎回,nan
2015-11-19,1.038,1.15,0.0,暂停申购,暂停赎回,nan
2015-11-20,1.038,1.15,0.0,暂停申购,暂停赎回,nan
2015-11-23,1.038,1.15,0.0,暂停申购,暂停赎回,nan
2015-11-24,1.038,1.15,0.0,暂停申购,暂停赎回,nan
2015-11-25,1.039,1.151,0.1,暂停申购,暂停赎回,nan
2015-11-26,1.039,1.151,0.0,暂停申购,暂停赎回,nan
2015-11-27,1.039,1.151,0.0,暂停申购,暂停赎回,nan
2015-11-30,1.04,1.152,0.1,暂停申购,暂停赎回,nan
2015-12-01,1.04,1.152,0.0,暂停申购,暂停赎回,nan
2015-12-02,1.04,1.152,0.0,暂停申购,暂停赎回,nan
2015-12-03,1.041,1.153,0.1,暂停申购,暂停赎回,nan
2015-12-04,1.042,1.154,0.1,暂停申购,暂停赎回,nan
2015-12-07,1.043,1.155,0.1,暂停申购,暂停赎回,nan
2015-12-08,1.043,1.155,0.0,开放申购,开放赎回,nan
2015-12-09,1.044,1.156,0.1,暂停申购,暂停赎回,nan
2015-12-10,1.044,1.156,0.0,暂停申购,暂停赎回,nan
2015-12-11,1.045,1.157,0.1,暂停申购,暂停赎回,nan
2015-12-14,1.045,1.157,0.0,暂停申购,暂停赎回,nan
2015-12-15,1.045,1.157,0.0,暂停申购,暂停赎回,nan
2015-12-16,1.046,1.158,0.1,暂停申购,暂停赎回,nan
2015-12-17,1.046,1.158,0.0,暂停申购,暂停赎回,nan
2015-12-18,1.047,1.159,0.1,暂停申购,暂停赎回,nan
2015-12-21,1.048,1.16,0.1,暂停申购,暂停赎回,nan
2015-12-22,1.049,1.161,0.1,暂停申购,暂停赎回,nan
2015-12-23,1.032,1.161,0.07,暂停申购,暂停赎回,每份派现金0.0177元
2015-12-24,1.032,1.161,0.0,暂停申购,暂停赎回,nan
2015-12-25,1.033,1.162,0.1,暂停申购,暂停赎回,nan
2015-12-28,1.033,1.162,0.0,暂停申购,暂停赎回,nan
2015-12-29,1.034,1.163,0.1,暂停申购,暂停赎回,nan
2015-12-30,1.034,1.163,0.0,暂停申购,暂停赎回,nan
2015-12-31,1.034,1.163,0.0,暂停申购,暂停赎回,nan
2016-01-04,1.034,1.163,0.0,暂停申购,暂停赎回,nan
2016-01-05,1.033,1.162,-0.1,暂停申购,暂停赎回,nan
2016-01-06,1.033,1.162,0.0,暂停申购,暂停赎回,nan
2016-01-07,1.034,1.163,0.1,暂停申购,暂停赎回,nan
2016-01-08,1.034,1.163,0.0,暂停申购,暂停赎回,nan
2016-01-11,1.035,1.164,0.1,暂停申购,暂停赎回,nan
2016-01-12,1.036,1.165,0.1,暂停申购,暂停赎回,nan
2016-01-13,1.037,1.166,0.1,暂停申购,暂停赎回,nan
2016-01-14,1.038,1.167,0.1,暂停申购,暂停赎回,nan
2016-01-15,1.038,1.167,0.0,暂停申购,暂停赎回,nan
2016-01-18,1.039,1.168,0.1,暂停申购,暂停赎回,nan
2016-01-19,1.038,1.167,-0.1,暂停申购,暂停赎回,nan
2016-01-20,1.038,1.167,0.0,暂停申购,暂停赎回,nan
2016-01-21,1.037,1.166,-0.1,暂停申购,暂停赎回,nan
2016-01-22,1.038,1.167,0.1,暂停申购,暂停赎回,nan
2016-01-25,1.038,1.167,0.0,暂停申购,暂停赎回,nan
2016-01-26,1.037,1.166,-0.1,暂停申购,暂停赎回,nan
2016-01-27,1.036,1.165,-0.1,暂停申购,暂停赎回,nan
2016-01-28,1.036,1.165,0.0,暂停申购,暂停赎回,nan
2016-01-29,1.037,1.166,0.1,暂停申购,暂停赎回,nan
2016-02-01,1.037,1.166,0.0,暂停申购,暂停赎回,nan
2016-02-02,1.037,1.166,0.0,暂停申购,暂停赎回,nan
2016-02-03,1.036,1.165,-0.1,暂停申购,暂停赎回,nan
2016-02-04,1.037,1.166,0.1,暂停申购,暂停赎回,nan
2016-02-05,1.038,1.167,0.1,暂停申购,暂停赎回,nan
2016-02-15,1.039,1.168,0.1,暂停申购,暂停赎回,nan
2016-02-16,1.04,1.169,0.1,暂停申购,暂停赎回,nan
2016-02-17,1.04,1.169,0.0,暂停申购,暂停赎回,nan
2016-02-18,1.041,1.17,0.1,暂停申购,暂停赎回,nan
2016-02-19,1.042,1.171,0.1,暂停申购,暂停赎回,nan
2016-02-22,1.042,1.171,0.0,暂停申购,暂停赎回,nan
2016-02-23,1.042,1.171,0.0,暂停申购,暂停赎回,nan
2016-02-24,1.041,1.17,-0.1,暂停申购,暂停赎回,nan
2016-02-25,1.041,1.17,0.0,暂停申购,暂停赎回,nan
2016-02-26,1.041,1.17,0.0,暂停申购,暂停赎回,nan
2016-02-29,1.041,1.17,0.0,暂停申购,暂停赎回,nan
2016-03-01,1.041,1.17,0.0,暂停申购,暂停赎回,nan
2016-03-02,1.042,1.171,0.1,暂停申购,暂停赎回,nan
2016-03-03,1.042,1.171,0.0,暂停申购,暂停赎回,nan
2016-03-04,1.042,1.171,0.0,暂停申购,暂停赎回,nan
2016-03-07,1.043,1.172,0.1,暂停申购,暂停赎回,nan
2016-03-08,1.043,1.172,0.0,开放申购,开放赎回,nan
2016-03-09,1.044,1.173,0.1,开放申购,开放赎回,nan
2016-03-10,1.045,1.174,0.1,开放申购,开放赎回,nan
2016-03-11,1.045,1.174,0.0,开放申购,开放赎回,nan
2016-03-14,1.045,1.174,0.0,开放申购,开放赎回,nan
2016-03-15,1.045,1.174,0.0,暂停申购,暂停赎回,nan
2016-03-16,1.046,1.175,0.1,暂停申购,暂停赎回,nan
2016-03-17,1.046,1.175,0.0,暂停申购,暂停赎回,nan
2016-03-18,1.046,1.175,0.0,暂停申购,暂停赎回,nan
2016-03-21,1.047,1.176,0.1,暂停申购,暂停赎回,nan
2016-03-22,1.047,1.176,0.0,暂停申购,暂停赎回,nan
2016-03-23,1.036,1.176,0.02,暂停申购,暂停赎回,每份派现金0.0112元
2016-03-24,1.036,1.176,0.0,暂停申购,暂停赎回,nan
2016-03-25,1.036,1.176,0.0,暂停申购,暂停赎回,nan
2016-03-28,1.035,1.175,-0.1,暂停申购,暂停赎回,nan
2016-03-29,1.034,1.174,-0.1,暂停申购,暂停赎回,nan
2016-03-30,1.034,1.174,0.0,暂停申购,暂停赎回,nan
2016-03-31,1.035,1.175,0.1,暂停申购,暂停赎回,nan
2016-04-01,1.035,1.175,0.0,暂停申购,暂停赎回,nan
2016-04-05,1.036,1.176,0.1,暂停申购,暂停赎回,nan
2016-04-06,1.036,1.176,0.0,暂停申购,暂停赎回,nan
2016-04-07,1.035,1.175,-0.1,暂停申购,暂停赎回,nan
2016-04-08,1.035,1.175,0.0,暂停申购,暂停赎回,nan
2016-04-11,1.035,1.175,0.0,暂停申购,暂停赎回,nan
2016-04-12,1.034,1.174,-0.1,暂停申购,暂停赎回,nan
2016-04-13,1.033,1.173,-0.1,暂停申购,暂停赎回,nan
2016-04-14,1.031,1.171,-0.19,暂停申购,暂停赎回,nan
2016-04-15,1.031,1.171,0.0,暂停申购,暂停赎回,nan
2016-04-18,1.031,1.171,0.0,暂停申购,暂停赎回,nan
