净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2015-12-09,1.9119,1.9119,-0.38,开放申购,开放赎回,nan
2015-12-10,1.9063,1.9063,-0.29,开放申购,开放赎回,nan
2015-12-11,1.892,1.892,-0.75,开放申购,开放赎回,nan
2015-12-14,1.9271,1.9271,1.86,开放申购,开放赎回,nan
2015-12-15,1.9408,1.9408,0.71,开放申购,开放赎回,nan
2015-12-16,1.9481,1.9481,0.38,开放申购,开放赎回,nan
2015-12-17,2.0074,2.0074,3.04,开放申购,开放赎回,nan
2015-12-18,1.9987,1.9987,-0.43,开放申购,开放赎回,nan
2015-12-21,2.0227,2.0227,1.2,开放申购,开放赎回,nan
2015-12-22,2.0383,2.0383,0.77,开放申购,开放赎回,nan
2015-12-23,2.0191,2.0191,-0.94,开放申购,开放赎回,nan
2015-12-24,2.0146,2.0146,-0.22,开放申购,开放赎回,nan
2015-12-25,2.0239,2.0239,0.46,开放申购,开放赎回,nan
2015-12-28,1.9799,1.9799,-2.17,开放申购,开放赎回,nan
2015-12-29,1.9958,1.9958,0.8,开放申购,开放赎回,nan
2015-12-30,2.012,2.012,0.81,开放申购,开放赎回,nan
2015-12-31,1.9831,1.9831,-1.44,开放申购,开放赎回,nan
2016-01-04,1.8366,1.8366,-7.39,开放申购,开放赎回,nan
2016-01-05,1.8112,1.8112,-1.38,开放申购,开放赎回,nan
2016-01-06,1.8527,1.8527,2.29,开放申购,开放赎回,nan
2016-01-07,1.7147,1.7147,-7.45,开放申购,开放赎回,nan
2016-01-08,1.7364,1.7364,1.27,开放申购,开放赎回,nan
2016-01-11,1.6315,1.6315,-6.04,开放申购,开放赎回,nan
2016-01-12,1.6334,1.6334,0.12,开放申购,开放赎回,nan
2016-01-13,1.5826,1.5826,-3.11,开放申购,开放赎回,nan
2016-01-14,1.6308,1.6308,3.05,开放申购,开放赎回,nan
2016-01-15,1.5749,1.5749,-3.43,开放申购,开放赎回,nan
2016-01-18,1.5968,1.5968,1.39,开放申购,开放赎回,nan
2016-01-19,1.6489,1.6489,3.26,开放申购,开放赎回,nan
2016-01-20,1.6342,1.6342,-0.89,开放申购,开放赎回,nan
2016-01-21,1.5745,1.5745,-3.65,开放申购,开放赎回,nan
2016-01-22,1.5962,1.5962,1.38,开放申购,开放赎回,nan
2016-01-25,1.6101,1.6101,0.87,开放申购,开放赎回,nan
2016-01-26,1.5018,1.5018,-6.73,开放申购,开放赎回,nan
2016-01-27,1.4819,1.4819,-1.33,开放申购,开放赎回,nan
2016-01-28,1.4246,1.4246,-3.87,开放申购,开放赎回,nan
2016-01-29,1.4721,1.4721,3.33,开放申购,开放赎回,nan
2016-02-01,1.4548,1.4548,-1.18,开放申购,开放赎回,nan
2016-02-02,1.5009,1.5009,3.17,开放申购,开放赎回,nan
2016-02-03,1.5069,1.5069,0.4,开放申购,开放赎回,nan
2016-02-04,1.5348,1.5348,1.85,开放申购,开放赎回,nan
2016-02-05,1.5211,1.5211,-0.89,开放申购,开放赎回,nan
2016-02-15,1.522,1.522,0.06,开放申购,开放赎回,nan
2016-02-16,1.5789,1.5789,3.74,开放申购,开放赎回,nan
2016-02-17,1.5954,1.5954,1.05,开放申购,开放赎回,nan
2016-02-18,1.5922,1.5922,-0.2,开放申购,开放赎回,nan
2016-02-19,1.5973,1.5973,0.32,开放申购,开放赎回,nan
2016-02-22,1.6271,1.6271,1.87,开放申购,开放赎回,nan
2016-02-23,1.6181,1.6181,-0.55,开放申购,开放赎回,nan
2016-02-24,1.6279,1.6279,0.61,开放申购,开放赎回,nan
2016-02-25,1.5101,1.5101,-7.24,开放申购,开放赎回,nan
2016-02-26,1.5157,1.5157,0.37,开放申购,开放赎回,nan
2016-02-29,1.4413,1.4413,-4.91,开放申购,开放赎回,nan
2016-03-01,1.4718,1.4718,2.12,开放申购,开放赎回,nan
2016-03-02,1.5415,1.5415,4.74,开放申购,开放赎回,nan
2016-03-03,1.548,1.548,0.42,开放申购,开放赎回,nan
2016-03-04,1.5092,1.5092,-2.51,开放申购,开放赎回,nan
2016-03-07,1.5412,1.5412,2.12,开放申购,开放赎回,nan
2016-03-08,1.545,1.545,0.25,开放申购,开放赎回,nan
2016-03-09,1.5094,1.5094,-2.3,开放申购,开放赎回,nan
2016-03-10,1.4859,1.4859,-1.56,开放申购,开放赎回,nan
2016-03-11,1.4819,1.4819,-0.27,开放申购,开放赎回,nan
2016-03-14,1.5271,1.5271,3.05,开放申购,开放赎回,nan
2016-03-15,1.5144,1.5144,-0.83,开放申购,开放赎回,nan
2016-03-16,1.4952,1.4952,-1.27,开放申购,开放赎回,nan
2016-03-17,1.5409,1.5409,3.06,开放申购,开放赎回,nan
2016-03-18,1.5917,1.5917,3.3,开放申购,开放赎回,nan
2016-03-21,1.6285,1.6285,2.31,开放申购,开放赎回,nan
2016-03-22,1.6237,1.6237,-0.29,开放申购,开放赎回,nan
2016-03-23,1.634,1.634,0.63,开放申购,开放赎回,nan
2016-03-24,1.6096,1.6096,-1.49,开放申购,开放赎回,nan
2016-03-25,1.6233,1.6233,0.85,开放申购,开放赎回,nan
2016-03-28,1.6141,1.6141,-0.57,开放申购,开放赎回,nan
2016-03-29,1.5854,1.5854,-1.78,开放申购,开放赎回,nan
2016-03-30,1.6393,1.6393,3.4,开放申购,开放赎回,nan
2016-03-31,1.6443,1.6443,0.31,开放申购,开放赎回,nan
2016-04-01,1.6361,1.6361,-0.5,开放申购,开放赎回,nan
2016-04-05,1.6774,1.6774,2.52,开放申购,开放赎回,nan
2016-04-06,1.6861,1.6861,0.52,开放申购,开放赎回,nan
2016-04-07,1.6633,1.6633,-1.35,开放申购,开放赎回,nan
2016-04-08,1.6473,1.6473,-0.96,开放申购,开放赎回,nan
2016-04-11,1.6816,1.6816,2.08,开放申购,开放赎回,nan
