净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2015-12-09,1.078,1.288,-1.28,限制大额申购,开放赎回,nan
2015-12-10,1.073,1.283,-0.46,限制大额申购,开放赎回,nan
2015-12-11,1.064,1.274,-0.84,限制大额申购,开放赎回,nan
2015-12-14,1.072,1.282,0.75,限制大额申购,开放赎回,nan
2015-12-15,1.074,1.284,0.19,限制大额申购,开放赎回,nan
2015-12-16,1.082,1.292,0.74,限制大额申购,开放赎回,nan
2015-12-17,1.091,1.301,0.83,限制大额申购,开放赎回,nan
2015-12-18,1.083,1.293,-0.73,限制大额申购,开放赎回,nan
2015-12-21,1.086,1.296,0.28,限制大额申购,开放赎回,nan
2015-12-22,1.089,1.299,0.28,限制大额申购,开放赎回,nan
2015-12-23,1.085,1.295,-0.37,限制大额申购,开放赎回,nan
2015-12-24,1.086,1.296,0.09,限制大额申购,开放赎回,nan
2015-12-25,1.088,1.298,0.18,限制大额申购,开放赎回,nan
2015-12-28,1.073,1.283,-1.38,限制大额申购,开放赎回,nan
2015-12-29,1.072,1.282,-0.09,限制大额申购,开放赎回,nan
2015-12-30,1.07,1.28,-0.19,限制大额申购,开放赎回,nan
2015-12-31,1.064,1.274,-0.56,限制大额申购,开放赎回,nan
2016-01-04,1.026,1.236,-3.57,限制大额申购,开放赎回,nan
2016-01-05,1.009,1.219,-1.66,限制大额申购,开放赎回,nan
2016-01-06,1.012,1.222,0.3,限制大额申购,开放赎回,nan
2016-01-07,0.982,1.192,-2.96,限制大额申购,开放赎回,nan
2016-01-08,0.98,1.19,-0.2,限制大额申购,开放赎回,nan
2016-01-11,0.957,1.167,-2.35,限制大额申购,开放赎回,nan
2016-01-12,0.97,1.18,1.36,限制大额申购,开放赎回,nan
2016-01-13,0.964,1.174,-0.62,限制大额申购,开放赎回,nan
2016-01-14,0.984,1.194,2.07,限制大额申购,开放赎回,nan
2016-01-15,0.972,1.182,-1.22,限制大额申购,开放赎回,nan
2016-01-18,0.963,1.173,-0.93,限制大额申购,开放赎回,nan
2016-01-19,0.945,1.155,-1.87,限制大额申购,开放赎回,nan
2016-01-20,0.917,1.127,-2.96,限制大额申购,开放赎回,nan
2016-01-21,0.906,1.116,-1.2,限制大额申购,开放赎回,nan
2016-01-22,0.912,1.122,0.66,限制大额申购,开放赎回,nan
2016-01-25,0.925,1.135,1.43,限制大额申购,开放赎回,nan
2016-01-26,0.902,1.112,-2.49,限制大额申购,开放赎回,nan
2016-01-27,0.904,1.114,0.22,限制大额申购,开放赎回,nan
2016-01-28,0.9,1.11,-0.44,限制大额申购,开放赎回,nan
2016-01-29,0.913,1.123,1.44,限制大额申购,开放赎回,nan
2016-02-01,0.911,1.121,-0.22,限制大额申购,开放赎回,nan
2016-02-02,0.922,1.132,1.21,限制大额申购,开放赎回,nan
2016-02-03,0.925,1.135,0.33,限制大额申购,开放赎回,nan
2016-02-04,0.935,1.145,1.08,限制大额申购,开放赎回,nan
2016-02-05,0.93,1.14,-0.53,限制大额申购,开放赎回,nan
2016-02-15,0.928,1.138,-0.22,限制大额申购,开放赎回,nan
2016-02-16,0.947,1.157,2.05,限制大额申购,开放赎回,nan
2016-02-17,0.954,1.164,0.74,限制大额申购,开放赎回,nan
2016-02-18,0.954,1.164,0.0,限制大额申购,开放赎回,nan
2016-02-19,0.953,1.163,-0.1,限制大额申购,开放赎回,nan
2016-02-22,0.959,1.169,0.63,限制大额申购,开放赎回,nan
2016-02-23,0.949,1.159,-1.04,限制大额申购,开放赎回,nan
2016-02-24,0.942,1.152,-0.74,限制大额申购,开放赎回,nan
2016-02-25,0.919,1.129,-2.44,限制大额申购,开放赎回,nan
2016-02-26,0.916,1.126,-0.33,限制大额申购,开放赎回,nan
2016-02-29,0.904,1.114,-1.31,限制大额申购,开放赎回,nan
2016-03-01,0.906,1.116,0.22,限制大额申购,开放赎回,nan
2016-03-02,0.931,1.141,2.76,限制大额申购,开放赎回,nan
2016-03-03,0.926,1.136,-0.54,限制大额申购,开放赎回,nan
2016-03-04,0.914,1.124,-1.3,限制大额申购,开放赎回,nan
2016-03-07,0.918,1.128,0.44,限制大额申购,开放赎回,nan
2016-03-08,0.922,1.132,0.44,限制大额申购,开放赎回,nan
2016-03-09,0.918,1.128,-0.43,限制大额申购,开放赎回,nan
2016-03-10,0.91,1.12,-0.87,限制大额申购,开放赎回,nan
2016-03-11,0.908,1.118,-0.22,限制大额申购,开放赎回,nan
2016-03-14,0.917,1.127,0.99,限制大额申购,开放赎回,nan
2016-03-15,0.916,1.126,-0.11,限制大额申购,开放赎回,nan
2016-03-16,0.914,1.124,-0.22,限制大额申购,开放赎回,nan
2016-03-17,0.925,1.135,1.2,限制大额申购,开放赎回,nan
2016-03-18,0.941,1.151,1.73,限制大额申购,开放赎回,nan
2016-03-21,0.949,1.159,0.85,限制大额申购,开放赎回,nan
2016-03-22,0.949,1.159,0.0,限制大额申购,开放赎回,nan
2016-03-23,0.951,1.161,0.21,限制大额申购,开放赎回,nan
2016-03-24,0.943,1.153,-0.84,限制大额申购,开放赎回,nan
2016-03-25,0.944,1.154,0.11,限制大额申购,开放赎回,nan
2016-03-28,0.94,1.15,-0.42,限制大额申购,开放赎回,nan
2016-03-29,0.932,1.142,-0.85,限制大额申购,开放赎回,nan
2016-03-30,0.939,1.149,0.75,限制大额申购,开放赎回,nan
2016-03-31,0.939,1.149,0.0,限制大额申购,开放赎回,nan
2016-04-01,0.936,1.146,-0.32,限制大额申购,开放赎回,nan
2016-04-05,0.953,1.163,1.82,限制大额申购,开放赎回,nan
2016-04-06,0.951,1.161,-0.21,限制大额申购,开放赎回,nan
2016-04-07,0.941,1.151,-1.05,限制大额申购,开放赎回,nan
2016-04-08,0.935,1.145,-0.64,限制大额申购,开放赎回,nan
2016-04-11,0.944,1.154,0.96,限制大额申购,开放赎回,nan
2016-04-12,0.945,1.155,0.11,限制大额申购,开放赎回,nan
