净值日期,Unnamed: 0,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2020-08-24,38,1.4101,1.4101,0.01,开放申购,开放赎回,
2020-08-25,37,1.4097,1.4097,-0.03,开放申购,开放赎回,
2020-08-26,36,1.4094,1.4094,-0.02,开放申购,开放赎回,
2020-08-27,35,1.4093,1.4093,-0.01,开放申购,开放赎回,
2020-08-28,34,1.4094,1.4094,0.01,开放申购,开放赎回,
2020-08-31,33,1.4102,1.4102,0.06,开放申购,开放赎回,
2020-09-01,32,1.411,1.411,0.06,开放申购,开放赎回,
2020-09-02,31,1.4109,1.4109,-0.01,开放申购,开放赎回,
2020-09-03,30,1.4104,1.4104,-0.04,开放申购,开放赎回,
2020-09-04,29,1.4105,1.4105,0.01,开放申购,开放赎回,
2020-09-07,28,1.4102,1.4102,-0.02,开放申购,开放赎回,
2020-09-08,27,1.4108,1.4108,0.04,开放申购,开放赎回,
2020-09-09,26,1.4103,1.4103,-0.04,开放申购,开放赎回,
2020-09-10,25,1.4101,1.4101,-0.01,开放申购,开放赎回,
2020-09-11,24,1.4104,1.4104,0.02,开放申购,开放赎回,
2020-09-14,23,1.4102,1.4102,-0.01,开放申购,开放赎回,
2020-09-15,22,1.4111,1.4111,0.06,开放申购,开放赎回,
2020-09-16,21,1.4116,1.4116,0.04,开放申购,开放赎回,
2020-09-17,20,1.4102,1.4102,-0.1,开放申购,开放赎回,
2020-09-18,19,1.412,1.412,0.13,开放申购,开放赎回,
2020-09-21,18,1.4124,1.4124,0.03,开放申购,开放赎回,
2020-09-22,17,1.4117,1.4117,-0.05,开放申购,开放赎回,
2020-09-23,16,1.4124,1.4124,0.05,开放申购,开放赎回,
2020-09-24,15,1.4112,1.4112,-0.08,开放申购,开放赎回,
2020-09-25,14,1.4108,1.4108,-0.03,开放申购,开放赎回,
2020-09-28,13,1.4104,1.4104,-0.03,开放申购,开放赎回,
2020-09-29,12,1.4121,1.4121,0.12,开放申购,开放赎回,
2020-09-30,11,1.4128,1.4128,0.05,开放申购,开放赎回,
2020-10-09,10,1.4159,1.4159,0.22,开放申购,开放赎回,
2020-10-12,9,1.4175,1.4175,0.11,开放申购,开放赎回,
2020-10-13,8,1.4188,1.4188,0.09,开放申购,开放赎回,
2020-10-14,7,1.4192,1.4192,0.03,开放申购,开放赎回,
2020-10-15,6,1.4199,1.4199,0.05,开放申购,开放赎回,
2020-10-16,5,1.4201,1.4201,0.01,开放申购,开放赎回,
2020-10-19,4,1.4205,1.4205,0.03,开放申购,开放赎回,
2020-10-20,3,1.4263,1.4263,0.41,开放申购,开放赎回,
2020-10-21,2,1.4268,1.4268,0.04,开放申购,开放赎回,
2020-10-22,1,1.4269,1.4269,0.01,开放申购,开放赎回,
2020-10-23,0,1.4272,1.4272,0.02,开放申购,开放赎回,
2020-10-26,39,1.4274,1.4274,0.01,开放申购,开放赎回,
2020-10-27,38,1.4276,1.4276,0.01,开放申购,开放赎回,
2020-10-28,37,1.4281,1.4281,0.04,开放申购,开放赎回,
2020-10-29,36,1.4293,1.4293,0.08,开放申购,开放赎回,
2020-10-30,35,1.4293,1.4293,0.0,开放申购,开放赎回,
2020-11-02,34,1.4297,1.4297,0.03,开放申购,开放赎回,
2020-11-03,33,1.4298,1.4298,0.01,开放申购,开放赎回,
2020-11-04,32,1.4301,1.4301,0.02,开放申购,开放赎回,
2020-11-05,31,1.4307,1.4307,0.04,开放申购,开放赎回,
2020-11-06,30,1.4307,1.4307,0.0,开放申购,开放赎回,
2020-11-09,29,1.4314,1.4314,0.05,开放申购,开放赎回,
2020-11-10,28,1.4312,1.4312,-0.01,开放申购,开放赎回,
2020-11-11,27,1.4309,1.4309,-0.02,开放申购,开放赎回,
2020-11-12,26,1.4301,1.4301,-0.06,开放申购,开放赎回,
2020-11-13,25,1.4264,1.4264,-0.26,开放申购,开放赎回,
2020-11-16,24,1.4262,1.4262,-0.01,开放申购,开放赎回,
2020-11-17,23,1.4253,1.4253,-0.06,开放申购,开放赎回,
2020-11-18,22,1.4263,1.4263,0.07,开放申购,开放赎回,
2020-11-19,21,1.4257,1.4257,-0.04,开放申购,开放赎回,
2020-11-20,20,1.4248,1.4248,-0.06,开放申购,开放赎回,
2020-11-23,19,1.4252,1.4252,0.03,开放申购,开放赎回,
2020-11-24,18,1.4253,1.4253,0.01,开放申购,开放赎回,
2020-11-25,17,1.4237,1.4237,-0.11,开放申购,开放赎回,
2020-11-26,16,1.4241,1.4241,0.03,开放申购,开放赎回,
2020-11-27,15,1.4232,1.4232,-0.06,开放申购,开放赎回,
2020-11-30,14,1.423,1.423,-0.01,开放申购,开放赎回,
2020-12-01,13,1.4237,1.4237,0.05,开放申购,开放赎回,
2020-12-02,12,1.4239,1.4239,0.01,开放申购,开放赎回,
2020-12-03,11,1.4241,1.4241,0.01,开放申购,开放赎回,
2020-12-04,10,1.4240000000000002,1.4240000000000002,-0.01,开放申购,开放赎回,
2020-12-07,9,1.4248,1.4248,0.06,开放申购,开放赎回,
2020-12-08,8,1.4249,1.4249,0.01,开放申购,开放赎回,
2020-12-09,7,1.4245,1.4245,-0.03,开放申购,开放赎回,
2020-12-10,6,1.4243,1.4243,-0.01,开放申购,开放赎回,
2020-12-11,5,1.4238,1.4238,-0.04,开放申购,开放赎回,
2020-12-14,4,1.4246,1.4246,0.06,开放申购,开放赎回,
2020-12-15,3,1.4248,1.4248,0.01,开放申购,开放赎回,
2020-12-16,2,1.4251,1.4251,0.02,开放申购,开放赎回,
2020-12-17,1,1.4257,1.4257,0.04,开放申购,开放赎回,
2020-12-18,0,1.4259,1.4259,0.01,开放申购,开放赎回,
2020-12-21,39,1.4268,1.4268,0.06,开放申购,开放赎回,
2020-12-22,38,1.4263,1.4263,-0.04,开放申购,开放赎回,
2020-12-23,37,1.4264,1.4264,0.01,开放申购,开放赎回,
2020-12-24,36,1.4263,1.4263,-0.01,开放申购,开放赎回,
2020-12-25,35,1.4255,1.4255,-0.06,开放申购,开放赎回,
2020-12-28,34,1.4254,1.4254,-0.01,开放申购,开放赎回,
2020-12-29,33,1.4240000000000002,1.4240000000000002,-0.1,开放申购,开放赎回,
2020-12-30,32,1.4234,1.4234,-0.04,开放申购,开放赎回,
2020-12-31,31,1.4293,1.4293,0.41,开放申购,开放赎回,
2021-01-04,30,1.4313,1.4313,0.14,开放申购,开放赎回,
2021-01-05,29,1.4316,1.4316,0.02,开放申购,开放赎回,
2021-01-06,28,1.4358,1.4358,0.29,开放申购,开放赎回,
2021-01-07,27,1.4364,1.4364,0.04,开放申购,开放赎回,
2021-01-08,26,1.436,1.436,-0.03,开放申购,开放赎回,
2021-01-11,25,1.4364,1.4364,0.03,开放申购,开放赎回,
2021-01-12,24,1.4369,1.4369,0.03,开放申购,开放赎回,
2021-01-13,23,1.4368,1.4368,-0.01,开放申购,开放赎回,
2021-01-14,22,1.4373,1.4373,0.03,开放申购,开放赎回,
2021-01-15,21,1.4373,1.4373,0.0,开放申购,开放赎回,
2021-01-18,20,1.4381,1.4381,0.06,开放申购,开放赎回,
2021-01-19,19,1.4384,1.4384,0.02,开放申购,开放赎回,
2021-01-20,18,1.4384,1.4384,0.0,开放申购,开放赎回,
2021-01-21,17,1.439,1.439,0.04,开放申购,开放赎回,
2021-01-22,16,1.439,1.439,0.0,开放申购,开放赎回,
2021-01-25,15,1.4397,1.4397,0.05,开放申购,开放赎回,
2021-01-26,14,1.4386,1.4386,-0.08,开放申购,开放赎回,
2021-01-27,13,1.4382,1.4382,-0.03,开放申购,开放赎回,
2021-01-28,12,1.4362,1.4362,-0.14,开放申购,开放赎回,
2021-01-29,11,1.4342,1.4342,-0.14,开放申购,开放赎回,
2021-02-01,10,1.4377,1.4377,0.24,开放申购,开放赎回,
2021-02-02,9,1.4378,1.4378,0.01,开放申购,开放赎回,
2021-02-03,8,1.4368,1.4368,-0.07,开放申购,开放赎回,
2021-02-04,7,1.4349,1.4349,-0.13,开放申购,开放赎回,
2021-02-05,6,1.4331,1.4331,-0.13,开放申购,开放赎回,
2021-02-08,5,1.4356,1.4356,0.17,开放申购,开放赎回,
2021-02-09,4,1.4368,1.4368,0.08,开放申购,开放赎回,
2021-02-10,3,1.4367,1.4367,-0.01,开放申购,开放赎回,
2021-02-18,2,1.4382,1.4382,0.1,开放申购,开放赎回,
2021-02-19,1,1.4387,1.4387,0.03,开放申购,开放赎回,
2021-02-22,0,1.439,1.439,0.02,开放申购,开放赎回,
2021-02-23,39,1.4385,1.4385,-0.03,开放申购,开放赎回,
2021-02-24,38,1.4384,1.4384,-0.01,开放申购,开放赎回,
2021-02-25,37,1.4388,1.4388,0.03,开放申购,开放赎回,
2021-02-26,36,1.4383,1.4383,-0.03,开放申购,开放赎回,
2021-03-01,35,1.4395,1.4395,0.08,开放申购,开放赎回,
2021-03-02,34,1.4395,1.4395,0.0,开放申购,开放赎回,
2021-03-03,33,1.4401,1.4401,0.04,开放申购,开放赎回,
2021-03-04,32,1.4397,1.4397,-0.03,开放申购,开放赎回,
2021-03-05,31,1.4395,1.4395,-0.01,开放申购,开放赎回,
2021-03-08,30,1.4406,1.4406,0.08,开放申购,开放赎回,
2021-03-09,29,1.4407,1.4407,0.01,开放申购,开放赎回,
2021-03-10,28,1.4431,1.4431,0.17,开放申购,开放赎回,
2021-03-11,27,1.444,1.444,0.06,开放申购,开放赎回,
2021-03-12,26,1.444,1.444,0.0,开放申购,开放赎回,
2021-03-15,25,1.4444,1.4444,0.03,开放申购,开放赎回,
2021-03-16,24,1.4448,1.4448,0.03,开放申购,开放赎回,
2021-03-17,23,1.445,1.445,0.01,开放申购,开放赎回,
2021-03-18,22,1.4455,1.4455,0.03,开放申购,开放赎回,
2021-03-19,21,1.4454,1.4454,-0.01,开放申购,开放赎回,
2021-03-22,20,1.4464,1.4464,0.07,开放申购,开放赎回,
2021-03-23,19,1.4480000000000002,1.4480000000000002,0.11,开放申购,开放赎回,
2021-03-24,18,1.4478,1.4478,-0.01,开放申购,开放赎回,
2021-03-25,17,1.4480000000000002,1.4480000000000002,0.01,开放申购,开放赎回,
2021-03-26,16,1.4485,1.4485,0.03,开放申购,开放赎回,
2021-03-29,15,1.449,1.449,0.03,开放申购,开放赎回,
2021-03-30,14,1.4492,1.4492,0.01,开放申购,开放赎回,
2021-03-31,13,1.4492,1.4492,0.0,开放申购,开放赎回,
2021-04-01,12,1.4493,1.4493,0.01,开放申购,开放赎回,
2021-04-02,11,1.4497,1.4497,0.03,开放申购,开放赎回,
2021-04-06,10,1.4508,1.4508,0.08,开放申购,开放赎回,
2021-04-07,9,1.4509999999999998,1.4509999999999998,0.01,开放申购,开放赎回,
2021-04-08,8,1.4514,1.4514,0.03,开放申购,开放赎回,
2021-04-09,7,1.4519,1.4519,0.03,开放申购,开放赎回,
2021-04-12,6,1.4525,1.4525,0.04,开放申购,开放赎回,
2021-04-13,5,1.4528,1.4528,0.02,开放申购,开放赎回,
2021-04-14,4,1.4532,1.4532,0.03,开放申购,开放赎回,
2021-04-15,3,1.4536,1.4536,0.03,开放申购,开放赎回,
2021-04-16,2,1.4539,1.4539,0.02,开放申购,开放赎回,
2021-04-19,1,1.455,1.455,0.08,开放申购,开放赎回,
2021-04-20,0,1.4555,1.4555,0.03,开放申购,开放赎回,
