净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2015-12-09,1.161,1.161,0.09,限制大额申购,开放赎回,nan
2015-12-10,1.162,1.162,0.09,限制大额申购,开放赎回,nan
2015-12-11,1.162,1.162,0.0,限制大额申购,开放赎回,nan
2015-12-14,1.162,1.162,0.0,限制大额申购,开放赎回,nan
2015-12-15,1.162,1.162,0.0,限制大额申购,开放赎回,nan
2015-12-16,1.163,1.163,0.09,限制大额申购,开放赎回,nan
2015-12-17,1.164,1.164,0.09,限制大额申购,开放赎回,nan
2015-12-18,1.164,1.164,0.0,限制大额申购,开放赎回,nan
2015-12-21,1.166,1.166,0.17,限制大额申购,开放赎回,nan
2015-12-22,1.168,1.168,0.17,限制大额申购,开放赎回,nan
2015-12-23,1.168,1.168,0.0,限制大额申购,开放赎回,nan
2015-12-24,1.17,1.17,0.17,限制大额申购,开放赎回,nan
2015-12-25,1.171,1.171,0.09,限制大额申购,开放赎回,nan
2015-12-28,1.171,1.171,0.0,限制大额申购,开放赎回,nan
2015-12-29,1.172,1.172,0.09,限制大额申购,开放赎回,nan
2015-12-30,1.172,1.172,0.0,限制大额申购,开放赎回,nan
2015-12-31,1.172,1.172,0.0,限制大额申购,开放赎回,nan
2016-01-04,1.172,1.172,0.0,限制大额申购,开放赎回,nan
2016-01-05,1.172,1.172,0.0,限制大额申购,开放赎回,nan
2016-01-06,1.142,1.172,0.0,限制大额申购,开放赎回,每份派现金0.0300元
2016-01-07,1.143,1.173,0.09,限制大额申购,开放赎回,nan
2016-01-08,1.144,1.174,0.09,限制大额申购,开放赎回,nan
2016-01-11,1.144,1.174,0.0,限制大额申购,开放赎回,nan
2016-01-12,1.146,1.176,0.17,限制大额申购,开放赎回,nan
2016-01-13,1.147,1.177,0.09,限制大额申购,开放赎回,nan
2016-01-14,1.148,1.178,0.09,限制大额申购,开放赎回,nan
2016-01-15,1.148,1.178,0.0,限制大额申购,开放赎回,nan
2016-01-18,1.149,1.179,0.09,限制大额申购,开放赎回,nan
2016-01-19,1.148,1.178,-0.09,限制大额申购,开放赎回,nan
2016-01-20,1.148,1.178,0.0,限制大额申购,开放赎回,nan
2016-01-21,1.147,1.177,-0.09,限制大额申购,开放赎回,nan
2016-01-22,1.148,1.178,0.09,限制大额申购,开放赎回,nan
2016-01-25,1.148,1.178,0.0,限制大额申购,开放赎回,nan
2016-01-26,1.147,1.177,-0.09,限制大额申购,开放赎回,nan
2016-01-27,1.145,1.175,-0.17,限制大额申购,开放赎回,nan
2016-01-28,1.144,1.174,-0.09,限制大额申购,开放赎回,nan
2016-01-29,1.145,1.175,0.09,限制大额申购,开放赎回,nan
2016-02-01,1.146,1.176,0.09,限制大额申购,开放赎回,nan
2016-02-02,1.146,1.176,0.0,限制大额申购,开放赎回,nan
2016-02-03,1.145,1.175,-0.09,限制大额申购,开放赎回,nan
2016-02-04,1.145,1.175,0.0,限制大额申购,开放赎回,nan
2016-02-05,1.146,1.176,0.09,限制大额申购,开放赎回,nan
2016-02-15,1.148,1.178,0.17,限制大额申购,开放赎回,nan
2016-02-16,1.148,1.178,0.0,限制大额申购,开放赎回,nan
2016-02-17,1.148,1.178,0.0,限制大额申购,开放赎回,nan
2016-02-18,1.148,1.178,0.0,限制大额申购,开放赎回,nan
2016-02-19,1.149,1.179,0.09,限制大额申购,开放赎回,nan
2016-02-22,1.149,1.179,0.0,限制大额申购,开放赎回,nan
2016-02-23,1.15,1.18,0.09,限制大额申购,开放赎回,nan
2016-02-24,1.15,1.18,0.0,限制大额申购,开放赎回,nan
2016-02-25,1.15,1.18,0.0,限制大额申购,开放赎回,nan
2016-02-26,1.15,1.18,0.0,限制大额申购,开放赎回,nan
2016-02-29,1.15,1.18,0.0,限制大额申购,开放赎回,nan
2016-03-01,1.15,1.18,0.0,限制大额申购,开放赎回,nan
2016-03-02,1.151,1.181,0.09,限制大额申购,开放赎回,nan
2016-03-03,1.151,1.181,0.0,限制大额申购,开放赎回,nan
2016-03-04,1.151,1.181,0.0,限制大额申购,开放赎回,nan
2016-03-07,1.151,1.181,0.0,限制大额申购,开放赎回,nan
2016-03-08,1.152,1.182,0.09,限制大额申购,开放赎回,nan
