净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2015-12-09,1.067,1.277,-1.2,限制大额申购,开放赎回,nan
2015-12-10,1.062,1.272,-0.47,限制大额申购,开放赎回,nan
2015-12-11,1.053,1.263,-0.85,限制大额申购,开放赎回,nan
2015-12-14,1.061,1.271,0.76,限制大额申购,开放赎回,nan
2015-12-15,1.063,1.273,0.19,限制大额申购,开放赎回,nan
2015-12-16,1.07,1.28,0.66,限制大额申购,开放赎回,nan
2015-12-17,1.08,1.29,0.93,限制大额申购,开放赎回,nan
2015-12-18,1.072,1.282,-0.74,限制大额申购,开放赎回,nan
2015-12-21,1.075,1.285,0.28,限制大额申购,开放赎回,nan
2015-12-22,1.078,1.288,0.28,限制大额申购,开放赎回,nan
2015-12-23,1.074,1.284,-0.37,限制大额申购,开放赎回,nan
2015-12-24,1.074,1.284,0.0,限制大额申购,开放赎回,nan
2015-12-25,1.077,1.287,0.28,限制大额申购,开放赎回,nan
2015-12-28,1.062,1.272,-1.39,限制大额申购,开放赎回,nan
2015-12-29,1.061,1.271,-0.09,限制大额申购,开放赎回,nan
2015-12-30,1.059,1.269,-0.19,限制大额申购,开放赎回,nan
2015-12-31,1.053,1.263,-0.57,限制大额申购,开放赎回,nan
2016-01-04,1.015,1.225,-3.61,限制大额申购,开放赎回,nan
2016-01-05,0.999,1.209,-1.58,限制大额申购,开放赎回,nan
2016-01-06,1.002,1.212,0.3,限制大额申购,开放赎回,nan
2016-01-07,0.972,1.182,-2.99,限制大额申购,开放赎回,nan
2016-01-08,0.97,1.18,-0.21,限制大额申购,开放赎回,nan
2016-01-11,0.947,1.157,-2.37,限制大额申购,开放赎回,nan
2016-01-12,0.96,1.17,1.37,限制大额申购,开放赎回,nan
2016-01-13,0.954,1.164,-0.63,限制大额申购,开放赎回,nan
2016-01-14,0.973,1.183,1.99,限制大额申购,开放赎回,nan
2016-01-15,0.962,1.172,-1.13,限制大额申购,开放赎回,nan
2016-01-18,0.953,1.163,-0.94,限制大额申购,开放赎回,nan
2016-01-19,0.935,1.145,-1.89,限制大额申购,开放赎回,nan
2016-01-20,0.907,1.117,-2.99,限制大额申购,开放赎回,nan
2016-01-21,0.897,1.107,-1.1,限制大额申购,开放赎回,nan
2016-01-22,0.903,1.113,0.67,限制大额申购,开放赎回,nan
2016-01-25,0.916,1.126,1.44,限制大额申购,开放赎回,nan
2016-01-26,0.893,1.103,-2.51,限制大额申购,开放赎回,nan
2016-01-27,0.895,1.105,0.22,限制大额申购,开放赎回,nan
2016-01-28,0.891,1.101,-0.45,限制大额申购,开放赎回,nan
2016-01-29,0.903,1.113,1.35,限制大额申购,开放赎回,nan
2016-02-01,0.901,1.111,-0.22,限制大额申购,开放赎回,nan
2016-02-02,0.913,1.123,1.33,限制大额申购,开放赎回,nan
2016-02-03,0.916,1.126,0.33,限制大额申购,开放赎回,nan
2016-02-04,0.925,1.135,0.98,限制大额申购,开放赎回,nan
2016-02-05,0.92,1.13,-0.54,限制大额申购,开放赎回,nan
2016-02-15,0.918,1.128,-0.22,限制大额申购,开放赎回,nan
2016-02-16,0.938,1.148,2.18,限制大额申购,开放赎回,nan
2016-02-17,0.945,1.155,0.75,限制大额申购,开放赎回,nan
2016-02-18,0.945,1.155,0.0,限制大额申购,开放赎回,nan
2016-02-19,0.944,1.154,-0.11,限制大额申购,开放赎回,nan
