净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-03-12,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-15,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-16,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-17,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-18,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-19,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-22,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-23,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-24,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-25,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-26,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-29,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-30,1.1154,1.3004,0.0,封闭期,开放赎回,nan
2021-03-31,1.1155,1.3005,0.01,封闭期,开放赎回,nan
2021-04-01,1.1155,1.3005,0.0,封闭期,开放赎回,nan
2021-04-02,1.1155,1.3005,0.0,封闭期,开放赎回,nan
2021-04-06,1.1155,1.3005,0.0,封闭期,开放赎回,nan
2021-04-07,1.1155,1.3005,0.0,封闭期,开放赎回,nan
2021-04-08,1.1156,1.3006,0.01,封闭期,开放赎回,nan
2021-04-09,1.1155,1.3005,-0.01,封闭期,开放赎回,nan
2021-04-12,1.1154,1.3004,-0.01,封闭期,开放赎回,nan
2021-04-13,1.1139,1.2989,-0.13,封闭期,开放赎回,nan
2021-04-14,1.1139,1.2989,0.0,封闭期,开放赎回,nan
2021-04-15,1.1145,1.2995,0.05,封闭期,开放赎回,nan
2021-04-16,1.1151,1.3001,0.05,封闭期,开放赎回,nan
2021-04-19,1.1162,1.3012,0.1,封闭期,开放赎回,nan
2021-04-20,1.1166,1.3016,0.04,封闭期,开放赎回,nan
