净值日期,Unnamed: 0,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2019-08-30,35,1.6539,1.6539,0.96,开放申购,开放赎回,
2019-09-02,34,1.7254,1.7254,4.32,开放申购,开放赎回,
2019-09-03,33,1.7682,1.7682,2.48,开放申购,开放赎回,
2019-09-04,32,1.7917,1.7917,1.33,开放申购,开放赎回,
2019-09-05,31,1.7963,1.7963,0.26,开放申购,开放赎回,
2019-09-06,30,1.7993,1.7993,0.17,开放申购,开放赎回,
2019-09-09,29,1.8718,1.8718,4.03,开放申购,开放赎回,
2019-09-10,28,1.8467,1.8467,-1.34,开放申购,开放赎回,
2019-09-11,27,1.821,1.821,-1.39,限制大额申购,开放赎回,
2019-09-12,26,1.8158,1.8158,-0.29,限制大额申购,开放赎回,
2019-09-16,25,1.8268,1.8268,0.61,限制大额申购,开放赎回,
2019-09-17,24,1.7878,1.7878,-2.13,限制大额申购,开放赎回,
2019-09-18,23,1.7976,1.7976,0.55,限制大额申购,开放赎回,
2019-09-19,22,1.8371,1.8371,2.2,限制大额申购,开放赎回,
2019-09-20,21,1.8593,1.8593,1.21,限制大额申购,开放赎回,
2019-09-23,20,1.9044,1.9044,2.43,限制大额申购,开放赎回,
2019-09-24,19,1.9116,1.9116,0.38,限制大额申购,开放赎回,
2019-09-25,18,1.8359,1.8359,-3.96,限制大额申购,开放赎回,
2019-09-26,17,1.7601,1.7601,-4.13,限制大额申购,开放赎回,
2019-09-27,16,1.7703,1.7703,0.58,限制大额申购,开放赎回,
2019-09-30,15,1.7399,1.7399,-1.72,限制大额申购,开放赎回,
2019-10-08,14,1.712,1.712,-1.6,限制大额申购,开放赎回,
2019-10-09,13,1.7485,1.7485,2.13,限制大额申购,开放赎回,
2019-10-10,12,1.7918,1.7918,2.48,限制大额申购,开放赎回,
2019-10-11,11,1.7731,1.7731,-1.04,限制大额申购,开放赎回,
2019-10-14,10,1.8277,1.8277,3.08,限制大额申购,开放赎回,
2019-10-15,9,1.7781,1.7781,-2.71,限制大额申购,开放赎回,
2019-10-16,8,1.7731,1.7731,-0.28,限制大额申购,开放赎回,
2019-10-17,7,1.7648,1.7648,-0.47,限制大额申购,开放赎回,
2019-10-18,6,1.7345,1.7345,-1.72,限制大额申购,开放赎回,
2019-10-21,5,1.7271,1.7271,-0.43,限制大额申购,开放赎回,
2019-10-22,4,1.7655,1.7655,2.22,限制大额申购,开放赎回,
2019-10-23,3,1.7526,1.7526,-0.73,限制大额申购,开放赎回,
2019-10-24,2,1.7547,1.7547,0.12,限制大额申购,开放赎回,
2019-10-25,1,1.7879,1.7879,1.89,限制大额申购,开放赎回,
2019-10-28,0,1.8626,1.8626,4.18,限制大额申购,开放赎回,
2019-10-29,39,1.8315,1.8315,-1.67,限制大额申购,开放赎回,
2019-10-30,38,1.8729,1.8729,2.26,限制大额申购,开放赎回,
2019-10-31,37,1.8561,1.8561,-0.9,限制大额申购,开放赎回,
2019-11-01,36,1.8759,1.8759,1.07,限制大额申购,开放赎回,
2019-11-04,35,1.8876,1.8876,0.62,限制大额申购,开放赎回,
2019-11-05,34,1.9322,1.9322,2.36,限制大额申购,开放赎回,
2019-11-06,33,1.9036,1.9036,-1.48,限制大额申购,开放赎回,
2019-11-07,32,1.9040000000000001,1.9040000000000001,0.02,限制大额申购,开放赎回,
2019-11-08,31,1.8911,1.8911,-0.68,限制大额申购,开放赎回,
2019-11-11,30,1.8595,1.8595,-1.67,限制大额申购,开放赎回,
2019-11-12,29,1.8624,1.8624,0.16,限制大额申购,开放赎回,
2019-11-13,28,1.9337,1.9337,3.83,限制大额申购,开放赎回,
2019-11-14,27,1.9786,1.9786,2.32,限制大额申购,开放赎回,
2019-11-15,26,1.9708,1.9708,-0.39,限制大额申购,开放赎回,
2019-11-18,25,1.9662,1.9662,-0.23,限制大额申购,开放赎回,
2019-11-19,24,2.0156,2.0156,2.51,限制大额申购,开放赎回,
