净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2010-02-22,10.025,10.405,0.2,暂停申购,开放赎回,nan
2010-02-23,10.116,10.496,0.91,暂停申购,开放赎回,nan
2010-02-24,10.243,10.623,1.26,暂停申购,开放赎回,nan
2010-02-25,10.348,10.728,1.03,暂停申购,开放赎回,nan
2010-02-26,10.378,10.758,0.29,暂停申购,开放赎回,nan
2010-03-01,10.497,10.877,1.15,暂停申购,开放赎回,nan
2010-03-02,10.535,10.915,0.36,暂停申购,开放赎回,nan
2010-03-03,10.566,10.946,0.29,暂停申购,开放赎回,nan
2010-03-04,10.336,10.716,-2.18,暂停申购,开放赎回,nan
2010-03-05,10.359,10.739,0.22,暂停申购,开放赎回,nan
2010-03-08,10.455,10.835,0.93,暂停申购,开放赎回,nan
2010-03-09,10.473,10.853,0.17,暂停申购,开放赎回,nan
2010-03-10,10.354,10.734,-1.14,暂停申购,开放赎回,nan
2010-03-11,10.347,10.727,-0.07,暂停申购,开放赎回,nan
2010-03-12,10.238,10.618,-1.05,暂停申购,开放赎回,nan
2010-03-15,10.135,10.515,-1.01,暂停申购,开放赎回,nan
2010-03-16,10.188,10.568,0.52,暂停申购,开放赎回,nan
2010-03-17,10.394,10.774,2.02,暂停申购,开放赎回,nan
2010-03-18,10.371,10.751,-0.22,暂停申购,开放赎回,nan
2010-03-19,10.422,10.802,0.49,暂停申购,开放赎回,nan
2010-03-22,10.459,10.839,0.36,暂停申购,开放赎回,nan
2010-03-23,10.445,10.825,-0.13,暂停申购,开放赎回,nan
2010-03-24,10.484,10.864,0.37,暂停申购,开放赎回,nan
2010-03-25,10.392,10.772,-0.88,暂停申购,开放赎回,nan
2010-03-26,10.508,10.888,1.12,暂停申购,开放赎回,nan
2010-03-29,10.647,11.027,1.32,暂停申购,开放赎回,nan
2010-03-30,10.687,11.067,0.38,暂停申购,开放赎回,nan
2010-03-31,10.718,11.098,0.29,暂停申购,开放赎回,nan
2010-04-01,10.82,11.2,0.95,暂停申购,开放赎回,nan
2010-04-02,10.808,11.188,-0.11,暂停申购,开放赎回,nan
2010-04-06,10.815,11.195,0.06,暂停申购,开放赎回,nan
2010-04-07,10.704,11.184,-0.1,暂停申购,开放赎回,每份派现金0.1000元
2010-04-08,10.698,11.178,-0.06,暂停申购,开放赎回,nan
2010-04-09,10.808,11.288,1.03,暂停申购,开放赎回,nan
2010-04-12,10.758,11.238,-0.46,暂停申购,开放赎回,nan
2010-04-13,10.725,11.205,-0.31,暂停申购,开放赎回,nan
2010-04-14,10.816,11.296,0.85,暂停申购,开放赎回,nan
2010-04-15,10.74,11.22,-0.7,暂停申购,开放赎回,nan
2010-04-16,10.671,11.151,-0.64,暂停申购,开放赎回,nan
2010-04-19,10.259,10.739,-3.86,暂停申购,开放赎回,nan
2010-04-20,10.323,10.803,0.62,暂停申购,开放赎回,nan
2010-04-21,10.573,11.053,2.42,暂停申购,开放赎回,nan
2010-04-22,10.542,11.022,-0.29,暂停申购,开放赎回,nan
2010-04-23,10.537,11.017,-0.05,暂停申购,开放赎回,nan
2010-04-26,10.522,11.002,-0.14,暂停申购,开放赎回,nan
2010-04-27,10.441,10.921,-0.77,暂停申购,开放赎回,nan
2010-04-28,10.457,10.937,0.15,暂停申购,开放赎回,nan
2010-04-29,10.236,10.716,-2.11,暂停申购,开放赎回,nan
2010-04-30,10.203,10.683,-0.32,暂停申购,开放赎回,nan
2010-05-04,10.131,10.611,-0.71,暂停申购,开放赎回,nan
2010-05-05,10.302,10.782,1.69,暂停申购,开放赎回,nan
2010-05-06,10.086,10.566,-2.1,暂停申购,开放赎回,nan
2010-05-07,9.996,10.476,-0.89,暂停申购,开放赎回,nan
2010-05-10,9.85,10.33,-1.46,暂停申购,开放赎回,nan
2010-05-11,9.566,10.046,-2.88,暂停申购,开放赎回,nan
2010-05-12,9.39,9.87,-1.84,暂停申购,开放赎回,nan
2010-05-13,9.631,10.111,2.57,暂停申购,开放赎回,nan
2010-05-14,9.687,10.167,0.58,暂停申购,开放赎回,nan
2010-05-17,9.241,9.721,-4.6,暂停申购,开放赎回,nan
2010-05-18,9.35,9.83,1.18,暂停申购,开放赎回,nan
2010-05-19,9.355,9.835,0.05,暂停申购,开放赎回,nan
2010-05-20,9.228,9.708,-1.36,暂停申购,开放赎回,nan
2010-05-21,9.397,9.877,1.83,暂停申购,开放赎回,nan
2010-05-24,9.759,10.239,3.85,暂停申购,开放赎回,nan
2010-05-25,9.669,10.149,-0.92,暂停申购,开放赎回,nan
2010-05-26,9.7,10.18,0.32,暂停申购,开放赎回,nan
2010-05-27,9.9,10.38,2.06,暂停申购,开放赎回,nan
2010-05-28,9.883,10.363,-0.17,暂停申购,开放赎回,nan
2010-05-31,9.689,10.169,-1.96,暂停申购,开放赎回,nan
2010-06-01,9.557,10.037,-1.36,暂停申购,开放赎回,nan
2010-06-02,9.644,10.124,0.91,暂停申购,开放赎回,nan
2010-06-03,9.625,10.105,-0.2,暂停申购,开放赎回,nan
2010-06-04,9.621,10.101,-0.04,暂停申购,开放赎回,nan
2010-06-07,9.505,9.985,-1.21,暂停申购,开放赎回,nan
2010-06-08,9.606,10.086,1.06,暂停申购,开放赎回,nan
2010-06-09,9.818,10.298,2.21,暂停申购,开放赎回,nan
2010-06-10,9.822,10.302,0.04,暂停申购,开放赎回,nan
2010-06-11,9.833,10.313,0.11,暂停申购,开放赎回,nan
2010-06-17,9.74,10.22,-0.95,暂停申购,开放赎回,nan
2010-06-18,9.495,9.975,-2.52,暂停申购,开放赎回,nan
2010-06-21,9.687,10.167,2.02,暂停申购,开放赎回,nan
2010-06-22,9.746,10.226,0.61,暂停申购,开放赎回,nan
2010-06-23,9.674,10.154,-0.74,暂停申购,开放赎回,nan
2010-06-24,9.671,10.151,-0.03,暂停申购,开放赎回,nan
2010-06-25,9.559,10.039,-1.16,暂停申购,开放赎回,nan
2010-06-28,9.474,9.954,-0.89,暂停申购,开放赎回,nan
2010-06-29,9.0,9.48,-5.0,暂停申购,开放赎回,nan
2010-06-30,8.932,9.412,-0.76,暂停申购,开放赎回,nan
2010-07-01,8.804,9.284,-1.43,暂停申购,开放赎回,nan
2010-07-02,8.749,9.229,-0.62,暂停申购,开放赎回,nan
2010-07-05,8.705,9.185,-0.5,暂停申购,开放赎回,nan
2010-07-06,8.901,9.381,2.25,暂停申购,开放赎回,nan
2010-07-07,9.003,9.483,1.15,暂停申购,开放赎回,nan
2010-07-08,8.979,9.459,-0.27,暂停申购,开放赎回,nan
2010-07-09,9.184,9.664,2.28,暂停申购,开放赎回,nan
2010-07-12,9.278,9.758,1.02,暂停申购,开放赎回,nan
2010-07-13,9.17,9.65,-1.16,暂停申购,开放赎回,nan
2010-07-14,9.197,9.677,0.29,暂停申购,开放赎回,nan
2010-07-15,8.994,9.474,-2.21,暂停申购,开放赎回,nan
2010-07-16,9.059,9.539,0.72,暂停申购,开放赎回,nan
2010-07-19,9.274,9.754,2.37,暂停申购,开放赎回,nan
2010-07-20,9.5,9.98,2.44,暂停申购,开放赎回,nan
2010-07-21,9.527,10.007,0.28,暂停申购,开放赎回,nan
2010-07-22,9.688,10.168,1.69,暂停申购,开放赎回,nan
2010-07-23,9.709,10.189,0.22,暂停申购,开放赎回,nan
2010-07-26,9.791,10.271,0.84,暂停申购,开放赎回,nan
2010-07-27,9.79,10.27,-0.01,暂停申购,开放赎回,nan
2010-07-28,9.964,10.444,1.78,暂停申购,开放赎回,nan
2010-07-29,10.001,10.481,0.37,暂停申购,开放赎回,nan
2010-07-30,9.978,10.458,-0.23,暂停申购,开放赎回,nan
2010-08-02,10.108,10.588,1.3,暂停申购,开放赎回,nan
2010-08-03,10.003,10.483,-1.04,暂停申购,开放赎回,nan
2010-08-04,10.079,10.559,0.76,暂停申购,开放赎回,nan
2010-08-05,10.059,10.539,-0.2,暂停申购,开放赎回,nan
2010-08-06,10.256,10.736,1.96,暂停申购,开放赎回,nan
2010-08-09,10.312,10.792,0.55,暂停申购,开放赎回,nan
2010-08-10,10.04,10.52,-2.64,暂停申购,开放赎回,nan
2010-08-11,10.137,10.617,0.97,暂停申购,开放赎回,nan
2010-08-12,10.011,10.491,-1.24,暂停申购,开放赎回,nan
2010-08-13,10.138,10.618,1.27,暂停申购,开放赎回,nan
2010-08-16,10.304,10.784,1.64,暂停申购,开放赎回,nan
2010-08-17,10.348,10.828,0.43,暂停申购,开放赎回,nan
2010-08-18,10.319,10.799,-0.28,暂停申购,开放赎回,nan
2010-08-19,10.305,10.785,-0.14,暂停申购,开放赎回,nan
2010-08-20,10.153,10.633,-1.48,暂停申购,开放赎回,nan
2010-08-23,10.162,10.642,0.09,暂停申购,开放赎回,nan
