date,close,factor
2005-04-08,1003.45,1.0
2005-04-11,995.42,1.0
2005-04-12,978.7,1.0
2005-04-13,1000.9,1.0
2005-04-14,986.98,1.0
2005-04-15,974.08,1.0
2005-04-18,963.77,1.0
2005-04-19,965.89,1.0
2005-04-20,950.87,1.0
2005-04-21,943.98,1.0
2005-04-22,939.1,1.0
2005-04-25,930.07,1.0
2005-04-26,937.08,1.0
2005-04-27,926.6,1.0
2005-04-28,942.07,1.0
2005-04-29,932.39,1.0
2005-05-09,909.17,1.0
2005-05-10,913.08,1.0
2005-05-11,901.85,1.0
2005-05-12,885.82,1.0
2005-05-13,887.54,1.0
2005-05-16,875.27,1.0
2005-05-17,881.46,1.0
2005-05-18,883.2,1.0
2005-05-19,884.17,1.0
2005-05-20,882.76,1.0
2005-05-23,863.34,1.0
2005-05-24,868.46,1.0
2005-05-25,868.45,1.0
2005-05-26,857.33,1.0
2005-05-27,849.51,1.0
2005-05-30,855.61,1.0
2005-05-31,855.95,1.0
2005-06-01,837.53,1.0
2005-06-02,818.38,1.0
2005-06-03,818.03,1.0
2005-06-06,839.0,1.0
2005-06-07,837.28,1.0
2005-06-08,905.77,1.0
2005-06-09,912.6,1.0
2005-06-10,894.56,1.0
2005-06-13,892.96,1.0
2005-06-14,883.54,1.0
2005-06-15,866.83,1.0
2005-06-16,879.24,1.0
2005-06-17,880.35,1.0
2005-06-20,906.25,1.0
2005-06-21,896.17,1.0
2005-06-22,900.65,1.0
2005-06-23,893.57,1.0
2005-06-24,898.3,1.0
2005-06-27,916.04,1.0
2005-06-28,903.72,1.0
2005-06-29,898.9,1.0
2005-06-30,878.69,1.0
2005-07-01,859.49,1.0
2005-07-04,855.93,1.0
2005-07-05,849.68,1.0
2005-07-06,842.56,1.0
2005-07-07,844.73,1.0
2005-07-08,829.49,1.0
2005-07-11,824.1,1.0
2005-07-12,851.82,1.0
2005-07-13,846.23,1.0
2005-07-14,849.59,1.0
2005-07-15,841.0,1.0
2005-07-18,833.0,1.0
2005-07-19,835.61,1.0
2005-07-20,842.64,1.0
2005-07-21,843.99,1.0
2005-07-22,859.69,1.0
2005-07-25,856.86,1.0
2005-07-26,876.48,1.0
2005-07-27,894.01,1.0
2005-07-28,890.88,1.0
2005-07-29,888.16,1.0
2005-08-01,891.61,1.0
2005-08-02,903.6,1.0
2005-08-03,909.57,1.0
2005-08-04,904.15,1.0
2005-08-05,923.8,1.0
2005-08-08,927.47,1.0
2005-08-09,933.09,1.0
2005-08-10,940.37,1.0
2005-08-11,953.99,1.0
2005-08-12,938.32,1.0
2005-08-15,954.5,1.0
2005-08-16,945.06,1.0
2005-08-17,953.01,1.0
2005-08-18,920.67,1.0
2005-08-19,923.04,1.0
2005-08-22,931.67,1.0
2005-08-23,923.41,1.0
2005-08-24,930.65,1.0
2005-08-25,930.12,1.0
2005-08-26,928.26,1.0
2005-08-29,917.37,1.0
2005-08-30,914.88,1.0
2005-08-31,927.92,1.0
2005-09-01,944.56,1.0
2005-09-02,947.87,1.0
2005-09-05,952.72,1.0
2005-09-06,936.61,1.0
2005-09-07,952.76,1.0
2005-09-08,955.28,1.0
2005-09-09,949.07,1.0
2005-09-12,949.51,1.0
2005-09-13,963.77,1.0
2005-09-14,970.19,1.0
2005-09-15,969.6,1.0
2005-09-16,967.5,1.0
2005-09-19,971.14,1.0
2005-09-20,961.92,1.0
2005-09-21,944.41,1.0
2005-09-22,923.27,1.0
2005-09-23,916.15,1.0
2005-09-26,918.49,1.0
2005-09-27,904.21,1.0
2005-09-28,903.72,1.0
2005-09-29,915.98,1.0
2005-09-30,917.39,1.0
2005-10-10,907.32,1.0
2005-10-11,919.72,1.0
2005-10-12,923.49,1.0
2005-10-13,916.5,1.0
2005-10-14,904.83,1.0
2005-10-17,897.62,1.0
2005-10-18,902.37,1.0
2005-10-19,898.74,1.0
2005-10-20,899.91,1.0
2005-10-21,904.41,1.0
2005-10-24,906.65,1.0
2005-10-25,894.27,1.0
2005-10-26,875.82,1.0
2005-10-27,875.85,1.0
2005-10-28,867.73,1.0
2005-10-31,876.28,1.0
2005-11-01,872.87,1.0
