date,close,factor
2005-01-04,827.07,1.0
2005-01-05,831.43,1.0
2005-01-06,822.5,1.0
2005-01-07,823.62,1.0
2005-01-10,832.99,1.0
2005-01-11,837.86,1.0
2005-01-12,837.24,1.0
2005-01-13,834.22,1.0
2005-01-14,829.04,1.0
2005-01-17,811.55,1.0
2005-01-18,817.31,1.0
2005-01-19,810.99,1.0
2005-01-20,805.08,1.0
2005-01-21,831.85,1.0
2005-01-24,842.41,1.0
2005-01-25,841.64,1.0
2005-01-26,834.67,1.0
2005-01-27,821.71,1.0
2005-01-28,820.69,1.0
2005-01-31,813.75,1.0
2005-02-01,817.87,1.0
2005-02-02,860.5,1.0
2005-02-03,848.49,1.0
2005-02-04,872.88,1.0
2005-02-16,875.46,1.0
2005-02-17,870.09,1.0
2005-02-18,856.21,1.0
2005-02-21,874.02,1.0
2005-02-22,887.07,1.0
2005-02-23,877.91,1.0
2005-02-24,877.35,1.0
2005-02-25,878.5,1.0
2005-02-28,868.89,1.0
2005-03-01,866.26,1.0
2005-03-02,855.88,1.0
2005-03-03,861.69,1.0
2005-03-04,859.49,1.0
2005-03-07,863.7,1.0
2005-03-08,876.34,1.0
2005-03-09,869.4,1.0
2005-03-10,851.53,1.0
2005-03-11,853.9,1.0
2005-03-14,857.61,1.0
2005-03-15,840.96,1.0
2005-03-16,832.82,1.0
2005-03-17,826.68,1.0
2005-03-18,821.03,1.0
2005-03-21,823.13,1.0
2005-03-22,808.1,1.0
2005-03-23,801.98,1.0
2005-03-24,808.18,1.0
2005-03-25,806.42,1.0
2005-03-28,805.56,1.0
2005-03-29,802.74,1.0
2005-03-30,790.58,1.0
2005-03-31,795.67,1.0
2005-04-01,822.91,1.0
2005-04-04,808.59,1.0
2005-04-05,801.88,1.0
2005-04-06,816.88,1.0
2005-04-07,824.61,1.0
2005-04-08,838.06,1.0
2005-04-11,830.91,1.0
2005-04-12,818.47,1.0
2005-04-13,835.63,1.0
2005-04-14,826.0,1.0
2005-04-15,817.09,1.0
2005-04-18,806.39,1.0
2005-04-19,809.36,1.0
2005-04-20,798.52,1.0
2005-04-21,793.45,1.0
2005-04-22,794.82,1.0
2005-04-25,790.75,1.0
2005-04-26,792.3,1.0
2005-04-27,782.43,1.0
2005-04-28,793.88,1.0
2005-04-29,789.73,1.0
2005-05-09,775.32,1.0
2005-05-10,779.1,1.0
2005-05-11,771.59,1.0
2005-05-12,753.88,1.0
2005-05-13,757.3,1.0
2005-05-16,747.87,1.0
2005-05-17,750.71,1.0
2005-05-18,752.66,1.0
2005-05-19,754.78,1.0
2005-05-20,753.07,1.0
