date,close,factor
2006-01-24,1459.2,1.0
2006-01-25,1430.02,1.0
2006-02-06,1482.33,1.0
2006-02-07,1463.92,1.0
2006-02-08,1469.49,1.0
2006-02-09,1465.88,1.0
2006-02-10,1485.81,1.0
2006-02-13,1508.13,1.0
2006-02-14,1527.95,1.0
2006-02-15,1516.95,1.0
2006-02-16,1465.3,1.0
2006-02-17,1440.05,1.0
2006-02-20,1396.42,1.0
2006-02-21,1434.71,1.0
2006-02-22,1425.01,1.0
2006-02-23,1413.09,1.0
2006-02-24,1442.34,1.0
2006-02-27,1423.15,1.0
2006-02-28,1438.8,1.0
2006-03-01,1472.62,1.0
2006-03-02,1432.5,1.0
2006-03-03,1439.12,1.0
2006-03-06,1436.7,1.0
2006-03-07,1391.46,1.0
2006-03-08,1399.76,1.0
2006-03-09,1394.23,1.0
2006-03-10,1397.12,1.0
2006-03-13,1404.18,1.0
2006-03-14,1406.65,1.0
2006-03-15,1429.41,1.0
2006-03-16,1431.95,1.0
2006-03-17,1424.81,1.0
2006-03-20,1438.36,1.0
2006-03-21,1443.41,1.0
2006-03-22,1464.01,1.0
2006-03-23,1488.75,1.0
2006-03-24,1473.56,1.0
2006-03-27,1491.65,1.0
2006-03-28,1504.69,1.0
2006-03-29,1510.24,1.0
2006-03-30,1490.96,1.0
2006-03-31,1506.01,1.0
2006-04-03,1549.4,1.0
2006-04-04,1578.79,1.0
2006-04-05,1608.92,1.0
2006-04-06,1597.18,1.0
2006-04-07,1591.74,1.0
2006-04-10,1627.16,1.0
2006-04-11,1627.91,1.0
2006-04-12,1627.92,1.0
2006-04-13,1582.75,1.0
2006-04-14,1631.32,1.0
2006-04-17,1671.56,1.0
2006-04-18,1653.0,1.0
2006-04-19,1667.84,1.0
2006-04-20,1654.09,1.0
2006-04-21,1681.9,1.0
2006-04-24,1642.61,1.0
2006-04-25,1620.86,1.0
2006-04-26,1678.63,1.0
2006-04-27,1657.68,1.0
2006-04-28,1721.62,1.0
2006-05-08,1748.23,1.0
2006-05-09,1813.3,1.0
2006-05-10,1854.92,1.0
2006-05-11,1843.42,1.0
2006-05-12,1930.06,1.0
2006-05-15,2033.06,1.0
2006-05-16,1925.15,1.0
2006-05-17,1922.07,1.0
2006-05-18,1973.59,1.0
2006-05-19,2107.81,1.0
2006-05-22,2121.52,1.0
2006-05-23,1972.79,1.0
2006-05-24,1924.74,1.0
2006-05-25,1957.64,1.0
2006-05-26,2020.9,1.0
2006-05-29,2063.2,1.0
2006-05-30,2079.22,1.0
2006-05-31,2085.92,1.0
2006-06-01,2195.07,1.0
2006-06-02,2225.94,1.0
2006-06-05,2298.22,1.0
2006-06-06,2210.48,1.0
2006-06-07,2038.09,1.0
2006-06-08,2067.09,1.0
2006-06-09,2091.36,1.0
2006-06-12,2141.83,1.0
2006-06-13,2152.21,1.0
2006-06-14,2156.92,1.0
2006-06-15,2168.74,1.0
2006-06-16,2232.63,1.0
2006-06-19,2218.65,1.0
2006-06-20,2240.22,1.0
2006-06-21,2222.55,1.0
2006-06-22,2192.13,1.0
2006-06-23,2190.48,1.0
2006-06-26,2213.59,1.0
2006-06-27,2231.56,1.0
2006-06-28,2226.9,1.0
2006-06-29,2264.38,1.0
2006-06-30,2231.11,1.0
2006-07-03,2240.58,1.0
2006-07-04,2223.79,1.0
2006-07-05,2224.11,1.0
2006-07-06,2285.19,1.0
2006-07-07,2256.15,1.0
2006-07-10,2279.94,1.0
2006-07-11,2314.49,1.0
2006-07-12,2289.54,1.0
2006-07-13,2167.15,1.0
2006-07-14,2186.49,1.0
2006-07-17,2201.12,1.0
2006-07-18,2196.7,1.0
2006-07-19,2158.76,1.0
2006-07-20,2170.06,1.0
2006-07-21,2194.9,1.0
2006-07-24,2181.15,1.0
2006-07-25,2197.73,1.0
2006-07-26,2187.73,1.0
2006-07-27,2160.9,1.0
2006-07-28,2123.43,1.0
2006-07-31,2005.56,1.0
2006-08-01,1988.35,1.0
2006-08-02,1987.39,1.0
2006-08-03,1963.96,1.0
2006-08-04,1898.85,1.0
2006-08-07,1868.78,1.0
2006-08-08,1909.42,1.0
2006-08-09,1901.6,1.0
2006-08-10,1924.53,1.0
2006-08-11,1954.97,1.0
2006-08-14,1902.57,1.0
2006-08-15,1929.38,1.0
2006-08-16,1960.88,1.0
2006-08-17,1936.02,1.0
2006-08-18,1912.58,1.0
2006-08-21,1933.07,1.0
2006-08-22,1962.44,1.0
2006-08-23,1968.44,1.0
2006-08-24,2001.0,1.0
2006-08-25,2012.06,1.0
2006-08-28,2043.6,1.0
2006-08-29,2096.54,1.0
2006-08-30,2092.83,1.0
2006-08-31,2098.45,1.0
2006-09-01,2091.64,1.0
2006-09-04,2149.48,1.0
2006-09-05,2114.94,1.0
2006-09-06,2107.92,1.0
2006-09-07,2097.08,1.0
2006-09-08,2114.58,1.0
2006-09-11,2115.67,1.0
2006-09-12,2117.52,1.0
2006-09-13,2097.36,1.0
2006-09-14,2076.39,1.0
2006-09-15,2092.2,1.0
2006-09-18,2114.75,1.0
2006-09-19,2130.63,1.0
2006-09-20,2139.23,1.0
2006-09-21,2166.86,1.0
2006-09-22,2180.92,1.0
2006-09-25,2193.25,1.0
2006-09-26,2155.33,1.0
2006-09-27,2156.46,1.0
2006-09-28,2182.54,1.0
2006-09-29,2202.39,1.0
2006-10-09,2240.17,1.0
2006-10-10,2239.86,1.0
2006-10-11,2261.73,1.0
2006-10-12,2215.94,1.0
2006-10-13,2209.76,1.0
2006-10-16,2187.21,1.0
2006-10-17,2178.35,1.0
2006-10-18,2197.14,1.0
2006-10-19,2216.0,1.0
2006-10-20,2193.96,1.0
2006-10-23,2130.1,1.0
2006-10-24,2171.97,1.0
2006-10-25,2181.87,1.0
2006-10-26,2164.94,1.0
2006-10-27,2144.48,1.0
2006-10-30,2120.63,1.0
2006-10-31,2133.16,1.0
2006-11-01,2126.88,1.0
2006-11-02,2098.69,1.0
2006-11-03,2106.97,1.0
2006-11-06,2083.43,1.0
2006-11-07,2093.98,1.0
2006-11-08,2106.27,1.0
