date,open,close,high,low,volume,money
2010-09-28,42.88,38.55,43.6,38.41,18012492.0,720143296.0
2010-09-29,38.99,38.76,40.18,38.08,7078598.0,277506112.0
2010-09-30,38.82,40.36,40.63,38.82,7132088.0,284593184.0
2010-10-08,40.67,40.49,40.88,39.4,6039982.0,243142176.0
2010-10-11,40.2,39.56,40.3,38.63,5091757.0,200014112.0
2010-10-12,39.2,38.67,39.55,38.66,2649408.0,103197016.0
2010-10-13,38.53,39.22,39.32,38.1,2939525.0,113758080.0
2010-10-14,39.1,38.2,39.29,38.15,2229776.0,86222584.0
2010-10-15,38.1,37.08,38.66,37.02,3778903.0,142149136.0
2010-10-18,36.99,36.65,36.99,35.7,2132913.0,77387088.0
2010-10-19,36.9,38.5,39.0,36.79,3483392.0,133424168.0
2010-10-20,37.52,38.81,39.16,37.52,3224253.0,124911104.0
2010-10-21,38.7,38.9,39.2,38.02,2160535.0,83486208.0
2010-10-22,39.3,39.08,40.5,38.6,3494671.0,137947088.0
2010-10-25,39.1,39.58,39.92,39.06,2632778.0,104025120.0
2010-10-26,39.74,39.04,39.75,38.65,1884804.0,73591792.0
2010-10-27,39.7,38.63,40.48,38.63,2769987.0,109687256.0
2010-10-28,38.5,38.95,39.08,38.0,2120646.0,81722104.0
2010-10-29,39.3,40.99,41.86,39.05,5462033.0,221163968.0
2010-11-01,42.25,41.79,42.77,41.3,3855554.0,161824832.0
2010-11-02,42.18,40.2,42.18,40.2,3240400.0,132341560.0
2010-11-03,39.85,38.7,39.85,38.55,2230504.0,87587720.0
2010-11-04,38.98,39.74,39.95,38.95,1570974.0,62039224.0
2010-11-05,40.0,39.46,40.18,39.29,1375780.0,54338176.0
2010-11-08,39.58,40.66,40.79,39.5,1786406.0,72071200.0
2010-11-09,40.6,40.98,41.2,40.0,1797553.0,72939976.0
2010-11-10,41.05,42.11,42.72,41.05,3061051.0,128795296.0
2010-11-11,41.89,44.1,46.1,41.52,5418816.0,235087088.0
2010-11-12,44.38,41.98,46.0,41.53,5014894.0,218861776.0
2010-11-15,42.6,45.65,45.98,42.1,4255664.0,188104320.0
2010-11-16,46.05,44.28,46.11,42.88,4014611.0,179485808.0
